                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   6.50  0.735  1.06E+03 1.85E+03 4.54E+03 1.27E+01 1.69E+01 4.06E+01 3.99E+01 5.32E+01 4.82E+01 4.95E+01 3.89E+01 3.27E+01 2.39E+01 1.60E+01 8.73E+00 4.90E+00 1.84E+00 7.89E-01 3.63E-01 1.60E-01 3.70E-02 6.16E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.763  1.67E+03 3.44E+03 6.98E+03 1.78E+01 2.38E+01 5.37E+01 5.43E+01 7.45E+01 6.92E+01 7.27E+01 5.97E+01 4.90E+01 3.72E+01 2.83E+01 1.61E+01 9.63E+00 4.84E+00 2.10E+00 6.92E-01 3.27E-01 7.33E-02 1.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.789  2.60E+03 6.02E+03 1.08E+04 2.47E+01 3.40E+01 8.18E+01 8.07E+01 1.08E+02 9.91E+01 1.05E+02 8.72E+01 7.58E+01 5.80E+01 4.39E+01 2.93E+01 1.82E+01 9.59E+00 5.15E+00 1.83E+00 6.23E-01 1.60E-01 4.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.815  4.00E+03 9.70E+03 1.68E+04 3.57E+01 4.78E+01 1.21E+02 1.22E+02 1.65E+02 1.50E+02 1.55E+02 1.30E+02 1.17E+02 9.01E+01 6.92E+01 4.67E+01 3.22E+01 1.78E+01 1.02E+01 4.70E+00 1.88E+00 5.13E-01 9.51E-02 9.51E-03 4.74E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.840  6.08E+03 1.59E+04 2.57E+04 5.78E+01 7.75E+01 1.87E+02 1.90E+02 2.55E+02 2.28E+02 2.38E+02 1.97E+02 1.70E+02 1.34E+02 1.05E+02 7.11E+01 4.91E+01 2.96E+01 1.73E+01 8.58E+00 4.19E+00 1.39E+00 3.56E-01 3.06E-02 4.37E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.865  9.06E+03 2.65E+04 3.88E+04 8.55E+01 1.16E+02 2.72E+02 2.72E+02 3.75E+02 3.39E+02 3.57E+02 2.95E+02 2.56E+02 2.00E+02 1.60E+02 1.09E+02 7.62E+01 4.70E+01 2.86E+01 1.53E+01 7.87E+00 3.34E+00 1.25E+00 2.46E-01 2.42E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.888  1.33E+04 4.41E+04 5.68E+04 1.19E+02 1.63E+02 3.85E+02 3.88E+02 5.33E+02 4.84E+02 5.15E+02 4.30E+02 3.79E+02 2.97E+02 2.36E+02 1.62E+02 1.14E+02 7.06E+01 4.37E+01 2.40E+01 1.26E+01 5.55E+00 2.27E+00 6.15E-01 2.54E-01 4.66E-02 1.87E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.911  1.94E+04 7.12E+04 8.34E+04 1.67E+02 2.30E+02 5.48E+02 5.55E+02 7.58E+02 6.93E+02 7.44E+02 6.28E+02 5.62E+02 4.43E+02 3.49E+02 2.41E+02 1.72E+02 1.06E+02 6.67E+01 3.77E+01 2.02E+01 9.25E+00 4.14E+00 1.54E+00 4.50E-01 8.63E-02 3.46E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.956  4.25E+04 1.75E+05 1.58E+05 2.81E+02 3.85E+02 9.20E+02 9.30E+02 1.28E+03 1.19E+03 1.31E+03 1.13E+03 1.06E+03 8.61E+02 7.14E+02 5.04E+02 3.63E+02 2.31E+02 1.51E+02 8.70E+01 4.88E+01 2.35E+01 1.05E+01 3.79E+00 1.48E+00 3.85E-01 7.76E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  0.998  8.43E+04 3.67E+05 2.87E+05 4.97E+02 6.74E+02 1.61E+03 1.61E+03 2.23E+03 2.07E+03 2.27E+03 1.96E+03 1.86E+03 1.53E+03 1.32E+03 9.59E+02 7.23E+02 4.67E+02 3.12E+02 1.88E+02 1.13E+02 5.79E+01 2.85E+01 1.18E+01 4.29E+00 1.24E+00 2.83E-01 3.75E-02 2.59E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.039  1.56E+05 7.55E+05 5.11E+05 8.40E+02 1.12E+03 2.73E+03 2.77E+03 3.89E+03 3.58E+03 3.98E+03 3.41E+03 3.25E+03 2.66E+03 2.29E+03 1.70E+03 1.33E+03 8.87E+02 6.19E+02 3.77E+02 2.31E+02 1.25E+02 6.69E+01 3.08E+01 1.33E+01 4.65E+00 1.34E+00 2.66E-01 6.78E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.078  2.74E+05 1.52E+06 8.71E+05 1.34E+03 1.77E+03 4.30E+03 4.35E+03 6.18E+03 5.78E+03 6.57E+03 5.70E+03 5.51E+03 4.55E+03 3.95E+03 2.93E+03 2.33E+03 1.60E+03 1.15E+03 7.28E+02 4.62E+02 2.54E+02 1.39E+02 6.68E+01 3.22E+01 1.26E+01 4.24E+00 1.23E+00 2.31E-01 1.98E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.116  4.61E+05 2.87E+06 1.42E+06 2.05E+03 2.69E+03 6.61E+03 6.70E+03 9.49E+03 8.86E+03 1.01E+04 8.88E+03 8.81E+03 7.36E+03 6.58E+03 4.95E+03 3.96E+03 2.71E+03 2.01E+03 1.31E+03 8.63E+02 4.89E+02 2.77E+02 1.38E+02 6.85E+01 2.91E+01 1.09E+01 3.24E+00 8.13E-01 1.50E-01 1.75E-03 1.00E-30 1.00E-30 1.00E-30
  16.00  1.153  7.46E+05 5.18E+06 2.20E+06 3.01E+03 3.94E+03 9.70E+03 9.80E+03 1.40E+04 1.31E+04 1.51E+04 1.33E+04 1.33E+04 1.12E+04 1.02E+04 7.82E+03 6.45E+03 4.47E+03 3.34E+03 2.19E+03 1.50E+03 8.79E+02 5.18E+02 2.62E+02 1.37E+02 6.14E+01 2.54E+01 8.91E+00 2.49E+00 5.12E-01 3.85E-02 1.00E-30 1.00E-30 1.00E-30
  17.00  1.188  1.17E+06 8.91E+06 3.34E+06 4.35E+03 5.66E+03 1.40E+04 1.42E+04 2.04E+04 1.91E+04 2.23E+04 1.95E+04 1.97E+04 1.67E+04 1.54E+04 1.18E+04 1.00E+04 7.10E+03 5.47E+03 3.61E+03 2.51E+03 1.51E+03 9.40E+02 4.99E+02 2.70E+02 1.25E+02 5.56E+01 2.16E+01 6.88E+00 1.93E+00 4.35E-01 1.78E-02 1.37E-03 1.00E-30
  18.00  1.223  1.80E+06 1.50E+07 4.95E+06 6.17E+03 7.96E+03 1.98E+04 2.01E+04 2.89E+04 2.71E+04 3.17E+04 2.80E+04 2.87E+04 2.43E+04 2.26E+04 1.77E+04 1.51E+04 1.08E+04 8.61E+03 5.83E+03 4.17E+03 2.53E+03 1.61E+03 8.94E+02 5.10E+02 2.48E+02 1.15E+02 4.77E+01 1.75E+01 5.19E+00 1.23E+00 2.43E-01 9.76E-03 1.00E-30
  19.00  1.256  2.68E+06 2.45E+07 7.16E+06 8.49E+03 1.08E+04 2.72E+04 2.74E+04 3.98E+04 3.75E+04 4.42E+04 3.93E+04 4.04E+04 3.45E+04 3.26E+04 2.56E+04 2.22E+04 1.61E+04 1.30E+04 8.99E+03 6.66E+03 4.14E+03 2.68E+03 1.52E+03 9.07E+02 4.59E+02 2.23E+02 9.58E+01 3.76E+01 1.33E+01 3.91E+00 7.42E-01 8.54E-02 1.09E-03
