                    ************************************************************************************************
                    *  Z= 32 A= 72: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 72 and ldmodel= 5  *
 180.00  3.873  4.46E+27 2.17E+26 4.45E+27 2.00E+24 2.05E+24 6.01E+24 5.99E+24 9.80E+24 9.71E+24 1.20E+25 1.13E+25 1.30E+25 1.23E+25 1.30E+25 1.14E+25 1.15E+25 1.02E+25 1.00E+25 8.55E+24 7.85E+24 6.52E+24 5.94E+24 4.72E+24 4.16E+24 3.31E+24 2.72E+24 2.15E+24 1.75E+24 1.31E+24 1.04E+24 7.70E+23 5.96E+23 4.38E+23
 190.00  3.979  3.10E+28 1.49E+27 3.10E+28 1.35E+25 1.38E+25 4.05E+25 4.04E+25 6.63E+25 6.52E+25 8.11E+25 7.67E+25 8.85E+25 8.35E+25 8.86E+25 7.78E+25 7.91E+25 7.05E+25 6.93E+25 5.95E+25 5.48E+25 4.58E+25 4.20E+25 3.35E+25 2.97E+25 2.38E+25 1.97E+25 1.57E+25 1.29E+25 9.69E+24 7.79E+24 5.79E+24 4.52E+24 3.35E+24
 200.00  4.082  1.78E+29 8.14E+27 1.73E+29 7.31E+25 7.48E+25 2.20E+26 2.18E+26 3.60E+26 3.54E+26 4.41E+26 4.18E+26 4.83E+26 4.56E+26 4.85E+26 4.27E+26 4.36E+26 3.90E+26 3.84E+26 3.31E+26 3.06E+26 2.57E+26 2.37E+26 1.90E+26 1.69E+26 1.36E+26 1.14E+26 9.11E+25 7.49E+25 5.70E+25 4.60E+25 3.44E+25 2.70E+25 2.02E+25

                    ************************************************************************************************
                    *  Z= 32 A= 72: Negative-Parity Spin-dependent Level Density [MeV-1] for Ge 72 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  2.50E-31 0.00E+00 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.204  5.00E-31 0.00E+00 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.250  4.65E-01 0.00E+00 9.00E-28 7.81E-01 1.00E-30 9.33E-01 1.00E-30 1.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.289  1.03E+00 0.00E+00 9.00E-28 5.97E-01 1.00E-30 1.31E+00 1.48E-01 2.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.323  1.61E+00 0.00E+00 9.00E-28 2.33E-01 1.00E-30 1.23E+00 2.33E-01 5.29E-01 1.00E-30 1.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.354  2.76E+00 0.00E+00 9.00E-28 1.02E+00 1.00E-30 2.03E+00 2.33E-01 1.19E+00 1.48E-01 2.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.382  4.18E+00 0.00E+00 9.00E-28 1.31E+00 1.00E-30 1.84E+00 3.82E-01 1.47E+00 3.82E-01 2.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.408  5.66E+00 3.69E+00 9.00E-28 1.23E+00 1.00E-30 1.47E+00 3.18E-01 1.88E+00 4.67E-01 5.29E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.433  8.33E+00 5.32E+00 9.00E-28 1.51E+00 3.83E-01 3.05E+00 1.35E+00 2.49E+00 6.15E-01 1.33E+00 1.48E-01 1.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.456  1.25E+01 6.72E+00 1.70E+01 9.19E-01 1.24E+00 3.81E+00 2.68E+00 2.18E+00 7.00E-01 1.70E+00 2.41E-01 7.20E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.479  1.77E+01 1.98E+01 3.48E+01 4.70E-01 1.60E+00 3.40E+00 3.17E+00 2.85E+00 7.00E-01 2.12E+00 5.42E-01 1.15E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.500  2.51E+01 2.36E+01 4.91E+01 1.55E+00 2.42E+00 4.61E+00 3.90E+00 4.48E+00 2.08E+00 2.25E+00 8.62E-01 1.51E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.520  3.59E+01 2.76E+01 1.18E+02 2.63E+00 4.02E+00 4.13E+00 4.17E+00 5.39E+00 3.24E+00 1.64E+00 7.98E-01 1.84E+00 1.48E-01 4.87E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.540  4.95E+01 6.37E+01 1.87E+02 2.93E+00 4.04E+00 3.97E+00 3.73E+00 6.82E+00 3.77E+00 2.41E+00 1.49E+00 1.57E+00 3.82E-01 1.06E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.559  6.79E+01 7.60E+01 2.29E+02 4.05E+00 4.85E+00 7.47E+00 5.37E+00 8.61E+00 5.73E+00 4.45E+00 3.00E+00 1.68E+00 6.15E-01 1.23E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.577  9.65E+01 8.76E+01 4.27E+02 4.52E+00 6.68E+00 1.23E+01 9.54E+00 9.45E+00 6.98E+00 6.87E+00 4.24E+00 2.19E+00 9.98E-01 1.79E+00 1.00E-30 4.87E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.595  1.34E+02 1.62E+02 6.42E+02 4.33E+00 5.84E+00 1.34E+01 1.26E+01 1.19E+01 8.26E+00 9.39E+00 5.31E+00 2.82E+00 1.61E+00 2.19E+00 1.48E-01 9.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.612  1.82E+02 2.02E+02 7.73E+02 5.57E+00 7.06E+00 1.87E+01 1.62E+01 1.75E+01 1.38E+01 1.20E+01 7.43E+00 4.96E+00 2.52E+00 2.17E+00 2.33E-01 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.629  2.55E+02 2.31E+02 1.23E+03 8.99E+00 1.30E+01 2.95E+01 2.20E+01 2.42E+01 1.97E+01 1.58E+01 8.65E+00 7.97E+00 3.90E+00 3.16E+00 1.35E+00 1.49E+00 1.00E-30 4.87E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.645  3.54E+02 3.88E+02 1.79E+03 1.24E+01 1.61E+01 3.61E+01 2.68E+01 3.22E+01 2.38E+01 2.25E+01 1.16E+01 1.08E+01 5.99E+00 4.46E+00 2.84E+00 1.73E+00 1.00E-30 9.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.677  6.83E+02 6.20E+02 3.21E+03 2.10E+01 2.39E+01 5.77E+01 3.78E+01 5.69E+01 4.08E+01 3.69E+01 2.22E+01 1.64E+01 8.53E+00 6.01E+00 4.54E+00 2.42E+00 7.20E-01 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.707  1.24E+03 1.44E+03 5.86E+03 3.22E+01 3.17E+01 8.52E+01 6.58E+01 9.50E+01 7.08E+01 6.36E+01 3.96E+01 3.10E+01 1.59E+01 1.10E+01 4.38E+00 4.34E+00 2.39E+00 3.73E-01 1.90E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.736  2.38E+03 2.26E+03 1.28E+04 5.08E+01 5.60E+01 1.52E+02 1.31E+02 1.54E+02 1.30E+02 1.17E+02 8.14E+01 6.17E+01 3.81E+01 2.74E+01 1.22E+01 9.74E+00 4.02E+00 2.49E+00 8.60E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.764  4.33E+03 3.63E+03 2.27E+04 9.06E+01 1.05E+02 2.67E+02 2.21E+02 2.83E+02 2.29E+02 2.07E+02 1.49E+02 1.03E+02 6.70E+01 4.78E+01 2.58E+01 1.64E+01 7.46E+00 5.62E+00 2.45E+00 1.25E+00 6.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.791  7.52E+03 6.69E+03 3.72E+04 1.42E+02 1.66E+02 4.17E+02 3.81E+02 4.91E+02 3.85E+02 3.34E+02 2.38E+02 1.83E+02 1.21E+02 7.74E+01 4.19E+01 2.85E+01 1.40E+01 1.04E+01 3.51E+00 2.65E+00 9.57E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.816  1.33E+04 1.00E+04 6.68E+04 2.63E+02 3.09E+02 8.05E+02 6.55E+02 8.24E+02 7.25E+02 6.20E+02 4.62E+02 3.58E+02 2.44E+02 1.69E+02 9.64E+01 6.14E+01 3.04E+01 1.84E+01 6.18E+00 3.97E+00 3.73E-01 6.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.842  2.25E+04 1.70E+04 1.06E+05 3.78E+02 4.44E+02 1.17E+03 1.03E+03 1.39E+03 1.15E+03 1.07E+03 7.87E+02 5.78E+02 4.08E+02 2.94E+02 1.78E+02 1.06E+02 6.00E+01 3.46E+01 1.51E+01 7.12E+00 1.24E+00 9.57E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.866  3.77E+04 2.81E+04 1.77E+05 6.04E+02 6.93E+02 1.86E+03 1.70E+03 2.16E+03 1.86E+03 1.72E+03 1.30E+03 1.02E+03 7.14E+02 5.11E+02 3.24E+02 2.12E+02 1.19E+02 6.84E+01 3.18E+01 1.47E+01 4.64E+00 1.82E+00 6.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.890  6.29E+04 4.23E+04 2.98E+05 1.01E+03 1.16E+03 3.06E+03 2.54E+03 3.44E+03 3.08E+03 2.86E+03 2.22E+03 1.78E+03 1.25E+03 9.09E+02 5.82E+02 3.79E+02 2.23E+02 1.30E+02 6.75E+01 3.19E+01 1.41E+01 6.10E+00 1.59E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.913  1.02E+05 6.89E+04 4.64E+05 1.43E+03 1.67E+03 4.36E+03 3.97E+03 5.43E+03 4.63E+03 4.51E+03 3.42E+03 2.76E+03 2.04E+03 1.45E+03 9.24E+02 6.05E+02 3.62E+02 2.20E+02 1.12E+02 5.26E+01 2.46E+01 1.13E+01 1.71E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.957  2.91E+05 1.51E+05 1.15E+06 3.54E+03 4.09E+03 1.08E+04 9.84E+03 1.27E+04 1.14E+04 1.10E+04 8.66E+03 7.12E+03 5.22E+03 3.81E+03 2.48E+03 1.68E+03 9.98E+02 6.17E+02 3.25E+02 1.87E+02 9.91E+01 4.98E+01 2.34E+01 1.16E+01 3.50E+00 2.17E+00 3.13E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.000  7.10E+05 3.27E+05 2.58E+06 7.25E+03 8.35E+03 2.22E+04 2.07E+04 2.85E+04 2.50E+04 2.52E+04 1.97E+04 1.65E+04 1.24E+04 9.21E+03 6.06E+03 4.08E+03 2.55E+03 1.61E+03 8.98E+02 4.89E+02 2.73E+02 1.50E+02 7.61E+01 3.79E+01 1.78E+01 8.13E+00 3.34E+00 1.44E+00 4.09E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.041  1.61E+06 6.83E+05 5.63E+06 1.50E+04 1.73E+04 4.63E+04 4.17E+04 5.95E+04 5.26E+04 5.40E+04 4.31E+04 3.71E+04 2.77E+04 2.12E+04 1.42E+04 9.66E+03 6.21E+03 3.96E+03 2.39E+03 1.31E+03 7.36E+02 3.83E+02 1.94E+02 9.67E+01 4.22E+01 1.82E+01 7.01E+00 2.93E+00 5.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.080  3.43E+06 1.35E+06 1.17E+07 2.98E+04 3.39E+04 9.13E+04 8.17E+04 1.14E+05 1.04E+05 1.07E+05 8.74E+04 7.74E+04 5.81E+04 4.56E+04 3.09E+04 2.18E+04 1.40E+04 8.96E+03 5.35E+03 3.11E+03 1.77E+03 9.34E+02 4.72E+02 2.28E+02 9.51E+01 3.94E+01 1.35E+01 4.55E+00 1.32E+00 4.09E-01 1.00E-30 1.00E-30 1.00E-30
  15.00  1.118  6.91E+06 2.48E+06 2.29E+07 5.38E+04 6.08E+04 1.65E+05 1.52E+05 2.11E+05 1.93E+05 2.02E+05 1.66E+05 1.50E+05 1.16E+05 9.29E+04 6.38E+04 4.63E+04 2.98E+04 1.94E+04 1.12E+04 6.67E+03 3.84E+03 2.07E+03 1.10E+03 5.73E+02 2.64E+02 1.22E+02 5.27E+01 2.09E+01 6.98E+00 3.82E+00 6.25E-01 1.00E-30 1.00E-30
  16.00  1.155  1.33E+07 4.39E+06 4.24E+07 9.41E+04 1.06E+05 2.88E+05 2.68E+05 3.82E+05 3.45E+05 3.71E+05 3.04E+05 2.80E+05 2.20E+05 1.79E+05 1.24E+05 9.10E+04 5.94E+04 3.98E+04 2.34E+04 1.35E+04 7.89E+03 4.27E+03 2.29E+03 1.20E+03 5.71E+02 2.74E+02 1.11E+02 4.89E+01 2.15E+01 6.96E+00 1.29E+00 1.00E-30 1.00E-30
  17.00  1.190  2.44E+07 7.68E+06 7.62E+07 1.60E+05 1.80E+05 4.89E+05 4.54E+05 6.61E+05 5.98E+05 6.51E+05 5.38E+05 5.05E+05 3.94E+05 3.28E+05 2.30E+05 1.71E+05 1.14E+05 7.71E+04 4.73E+04 2.74E+04 1.60E+04 8.77E+03 4.71E+03 2.46E+03 1.17E+03 5.29E+02 2.12E+02 8.64E+01 3.06E+01 8.91E+00 1.87E+00 6.25E-01 1.00E-30
  18.00  1.225  4.35E+07 1.28E+07 1.33E+08 2.64E+05 2.95E+05 8.06E+05 7.43E+05 1.08E+06 9.90E+05 1.09E+06 9.15E+05 8.75E+05 6.85E+05 5.81E+05 4.14E+05 3.16E+05 2.12E+05 1.45E+05 8.91E+04 5.38E+04 3.10E+04 1.74E+04 9.44E+03 5.02E+03 2.43E+03 1.15E+03 5.01E+02 2.07E+02 7.56E+01 2.73E+01 7.32E+00 3.05E+00 6.25E-01
  19.00  1.258  7.49E+07 2.06E+07 2.22E+08 4.17E+05 4.64E+05 1.27E+06 1.19E+06 1.72E+06 1.59E+06 1.76E+06 1.49E+06 1.45E+06 1.15E+06 9.94E+05 7.17E+05 5.61E+05 3.79E+05 2.64E+05 1.62E+05 9.94E+04 5.75E+04 3.22E+04 1.74E+04 9.35E+03 4.51E+03 2.18E+03 9.87E+02 4.28E+02 1.73E+02 6.78E+01 2.60E+01 7.02E+00 1.19E+00
  20.00  1.291  1.25E+08 3.24E+07 3.61E+08 6.46E+05 7.18E+05 1.97E+06 1.85E+06 2.71E+06 2.49E+06 2.79E+06 2.36E+06 2.32E+06 1.87E+06 1.64E+06 1.19E+06 9.49E+05 6.49E+05 4.65E+05 2.89E+05 1.78E+05 1.05E+05 5.88E+04 3.22E+04 1.72E+04 8.47E+03 4.15E+03 1.83E+03 7.94E+02 3.09E+02 1.10E+02 3.32E+01 7.46E+00 1.20E+00
  22.50  1.369  4.85E+08 9.12E+07 1.08E+09 1.72E+06 1.89E+06 5.23E+06 4.93E+06 7.32E+06 6.75E+06 7.75E+06 6.63E+06 6.71E+06 5.48E+06 5.00E+06 3.73E+06 3.08E+06 2.17E+06 1.63E+06 1.06E+06 6.83E+05 4.11E+05 2.39E+05 1.33E+05 7.17E+04 3.59E+04 1.79E+04 8.11E+03 3.68E+03 1.50E+03 5.66E+02 1.88E+02 5.86E+01 1.45E+01
  25.00  1.443  1.42E+09 2.33E+08 2.93E+09 4.17E+06 4.56E+06 1.26E+07 1.20E+07 1.79E+07 1.66E+07 1.94E+07 1.68E+07 1.74E+07 1.44E+07 1.34E+07 1.02E+07 8.81E+06 6.35E+06 4.98E+06 3.33E+06 2.28E+06 1.41E+06 8.69E+05 4.91E+05 2.75E+05 1.39E+05 7.07E+04 3.27E+04 1.52E+04 6.41E+03 2.57E+03 9.60E+02 3.38E+02 1.12E+02
  30.00  1.581  1.19E+10 1.28E+09 1.73E+10 2.18E+07 2.36E+07 6.60E+07 6.23E+07 9.38E+07 8.72E+07 1.04E+08 9.03E+07 9.51E+07 7.95E+07 7.65E+07 5.97E+07 5.34E+07 3.99E+07 3.31E+07 2.33E+07 1.74E+07 1.14E+07 7.83E+06 4.75E+06 2.98E+06 1.61E+06 8.85E+05 4.33E+05 2.12E+05 9.41E+04 4.03E+04 1.63E+04 6.26E+03 2.31E+03
  40.00  1.826  6.39E+11 3.81E+10 5.30E+11 6.32E+08 6.68E+08 1.90E+09 1.79E+09 2.71E+09 2.53E+09 2.99E+09 2.62E+09 2.76E+09 2.33E+09 2.25E+09 1.78E+09 1.61E+09 1.23E+09 1.04E+09 7.59E+08 5.90E+08 4.11E+08 3.03E+08 2.01E+08 1.42E+08 8.64E+07 5.68E+07 3.25E+07 1.96E+07 1.03E+07 5.46E+06 2.62E+06 1.22E+06 5.23E+05
  50.00  2.041  1.86E+13 1.09E+12 1.56E+13 1.74E+10 1.81E+10 5.21E+10 4.89E+10 7.48E+10 7.00E+10 8.38E+10 7.38E+10 7.83E+10 6.70E+10 6.52E+10 5.23E+10 4.77E+10 3.71E+10 3.17E+10 2.34E+10 1.84E+10 1.31E+10 9.78E+09 6.68E+09 4.80E+09 3.06E+09 2.07E+09 1.26E+09 8.05E+08 4.68E+08 2.77E+08 1.52E+08 8.44E+07 4.36E+07
  60.00  2.236  1.05E+15 6.54E+13 9.43E+14 8.33E+11 8.73E+11 2.52E+12 2.48E+12 4.03E+12 3.91E+12 4.52E+12 4.11E+12 4.41E+12 3.97E+12 3.85E+12 3.09E+12 2.84E+12 2.32E+12 2.04E+12 1.56E+12 1.25E+12 9.23E+11 7.29E+11 4.91E+11 3.70E+11 2.50E+11 1.68E+11 1.12E+11 7.37E+10 4.46E+10 2.81E+10 1.63E+10 9.86E+09 5.60E+09
  70.00  2.415  2.43E+16 1.39E+15 2.20E+16 1.77E+13 1.83E+13 5.32E+13 5.28E+13 8.62E+13 8.37E+13 9.79E+13 8.95E+13 9.70E+13 8.86E+13 8.68E+13 7.06E+13 6.60E+13 5.49E+13 4.92E+13 3.85E+13 3.14E+13 2.36E+13 1.92E+13 1.33E+13 1.03E+13 7.16E+12 4.98E+12 3.42E+12 2.34E+12 1.47E+12 9.69E+11 5.87E+11 3.71E+11 2.22E+11
  80.00  2.582  4.40E+17 2.45E+16 4.04E+17 3.00E+14 3.10E+14 8.97E+14 8.97E+14 1.46E+15 1.42E+15 1.68E+15 1.54E+15 1.69E+15 1.55E+15 1.54E+15 1.27E+15 1.20E+15 1.01E+15 9.17E+14 7.28E+14 6.08E+14 4.64E+14 3.85E+14 2.73E+14 2.17E+14 1.54E+14 1.10E+14 7.77E+13 5.48E+13 3.56E+13 2.42E+13 1.52E+13 9.97E+12 6.19E+12
  90.00  2.738  6.77E+18 3.70E+17 6.32E+18 4.36E+15 4.51E+15 1.31E+16 1.30E+16 2.13E+16 2.07E+16 2.47E+16 2.28E+16 2.52E+16 2.32E+16 2.33E+16 1.93E+16 1.85E+16 1.57E+16 1.45E+16 1.16E+16 9.85E+15 7.66E+15 6.45E+15 4.66E+15 3.77E+15 2.73E+15 2.01E+15 1.44E+15 1.04E+15 6.94E+14 4.86E+14 3.14E+14 2.12E+14 1.36E+14
 100.00  2.887  9.14E+19 4.91E+18 8.64E+19 5.59E+16 5.77E+16 1.68E+17 1.67E+17 2.74E+17 2.67E+17 3.19E+17 2.97E+17 3.30E+17 3.04E+17 3.08E+17 2.59E+17 2.50E+17 2.14E+17 2.00E+17 1.62E+17 1.39E+17 1.09E+17 9.31E+16 6.85E+16 5.63E+16 4.15E+16 3.11E+16 2.27E+16 1.68E+16 1.14E+16 8.18E+15 5.41E+15 3.74E+15 2.46E+15
 110.00  3.027  1.10E+21 5.83E+19 1.05E+21 6.43E+17 6.63E+17 1.93E+18 1.92E+18 3.15E+18 3.08E+18 3.70E+18 3.45E+18 3.87E+18 3.58E+18 3.66E+18 3.08E+18 3.01E+18 2.60E+18 2.44E+18 2.00E+18 1.74E+18 1.38E+18 1.19E+18 8.86E+17 7.38E+17 5.52E+17 4.20E+17 3.12E+17 2.35E+17 1.62E+17 1.19E+17 8.01E+16 5.66E+16 3.80E+16
 120.00  3.162  1.21E+22 6.29E+20 1.16E+22 6.74E+18 6.94E+18 2.03E+19 2.01E+19 3.30E+19 3.23E+19 3.91E+19 3.65E+19 4.11E+19 3.82E+19 3.92E+19 3.34E+19 3.28E+19 2.84E+19 2.69E+19 2.22E+19 1.95E+19 1.56E+19 1.37E+19 1.03E+19 8.65E+18 6.56E+18 5.07E+18 3.81E+18 2.91E+18 2.05E+18 1.52E+18 1.04E+18 7.51E+17 5.14E+17
 130.00  3.291  1.21E+23 6.22E+21 1.18E+23 6.48E+19 6.68E+19 1.95E+20 1.94E+20 3.18E+20 3.11E+20 3.79E+20 3.55E+20 4.01E+20 3.74E+20 3.86E+20 3.31E+20 3.27E+20 2.85E+20 2.71E+20 2.26E+20 2.00E+20 1.62E+20 1.43E+20 1.09E+20 9.22E+19 7.07E+19 5.53E+19 4.21E+19 3.25E+19 2.32E+19 1.75E+19 1.22E+19 8.90E+18 6.20E+18
 140.00  3.415  1.13E+24 5.71E+22 1.10E+24 5.80E+20 5.96E+20 1.74E+21 1.73E+21 2.85E+21 2.79E+21 3.41E+21 3.20E+21 3.63E+21 3.39E+21 3.53E+21 3.04E+21 3.02E+21 2.64E+21 2.53E+21 2.12E+21 1.90E+21 1.54E+21 1.37E+21 1.06E+21 9.00E+20 6.98E+20 5.53E+20 4.25E+20 3.33E+20 2.40E+20 1.84E+20 1.30E+20 9.64E+19 6.77E+19
