                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 1  *
 180.00  4.874  2.20E+28 9.62E+26 1.82E+28 8.41E+24 2.48E+25 3.99E+25 5.30E+25 6.36E+25 7.12E+25 7.57E+25 7.73E+25 7.61E+25 7.26E+25 6.74E+25 6.09E+25 5.36E+25 4.61E+25 3.87E+25 3.18E+25 2.56E+25 2.02E+25 1.55E+25 1.17E+25 8.69E+24 6.31E+24 4.49E+24 3.13E+24 2.14E+24 1.44E+24 9.49E+23 6.13E+23 3.89E+23 2.42E+23
 190.00  5.007  1.65E+29 7.15E+27 1.37E+29 6.08E+25 1.79E+26 2.89E+26 3.84E+26 4.62E+26 5.18E+26 5.53E+26 5.66E+26 5.60E+26 5.36E+26 5.00E+26 4.54E+26 4.02E+26 3.48E+26 2.94E+26 2.44E+26 1.97E+26 1.57E+26 1.22E+26 9.29E+25 6.94E+25 5.09E+25 3.66E+25 2.58E+25 1.79E+25 1.22E+25 8.11E+24 5.31E+24 3.41E+24 2.16E+24
 200.00  5.137  1.17E+30 5.05E+28 9.80E+29 4.18E+26 1.23E+27 1.99E+27 2.65E+27 3.19E+27 3.59E+27 3.84E+27 3.94E+27 3.91E+27 3.76E+27 3.52E+27 3.21E+27 2.86E+27 2.49E+27 2.12E+27 1.77E+27 1.44E+27 1.15E+27 9.04E+26 6.95E+26 5.24E+26 3.88E+26 2.81E+26 2.01E+26 1.40E+26 9.65E+25 6.51E+25 4.31E+25 2.81E+25 1.79E+25

                    ************************************************************************************************
                    *  Z= 26 A= 58: Negative-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.182  3.32E-01 6.65E-01 4.24E+00 5.03E-02 1.29E-01 1.58E-01 1.39E-01 9.68E-02 5.47E-02 2.56E-02 1.00E-02 3.31E-03 9.23E-04 2.18E-04 4.38E-05 7.47E-06 1.09E-06 1.35E-07 1.42E-08 1.28E-09 9.88E-11 6.50E-12 3.66E-13 1.76E-14 7.22E-16 2.54E-17 7.63E-19 1.96E-20 4.31E-22 8.12E-24 1.31E-25 1.80E-27 2.13E-29
   0.50  0.257  7.33E-01 8.01E-01 5.12E+00 6.06E-02 1.56E-01 1.91E-01 1.68E-01 1.17E-01 6.59E-02 3.09E-02 1.21E-02 3.99E-03 1.11E-03 2.63E-04 5.28E-05 9.01E-06 1.31E-06 1.62E-07 1.72E-08 1.55E-09 1.19E-10 7.84E-12 4.41E-13 2.12E-14 8.71E-16 3.06E-17 9.20E-19 2.36E-20 5.20E-22 9.79E-24 1.58E-25 2.18E-27 2.57E-29
   0.75  0.315  1.22E+00 9.67E-01 6.17E+00 7.31E-02 1.88E-01 2.30E-01 2.03E-01 1.41E-01 7.95E-02 3.72E-02 1.46E-02 4.82E-03 1.34E-03 3.17E-04 6.37E-05 1.09E-05 1.58E-06 1.96E-07 2.07E-08 1.87E-09 1.44E-10 9.46E-12 5.32E-13 2.56E-14 1.05E-15 3.69E-17 1.11E-18 2.85E-20 6.27E-22 1.18E-23 1.90E-25 2.62E-27 3.10E-29
   1.00  0.363  1.80E+00 1.17E+00 7.44E+00 8.82E-02 2.27E-01 2.78E-01 2.45E-01 1.70E-01 9.59E-02 4.49E-02 1.76E-02 5.81E-03 1.62E-03 3.83E-04 7.68E-05 1.31E-05 1.91E-06 2.36E-07 2.50E-08 2.25E-09 1.73E-10 1.14E-11 6.41E-13 3.08E-14 1.27E-15 4.45E-17 1.34E-18 3.44E-20 7.57E-22 1.42E-23 2.30E-25 3.17E-27 3.74E-29
   1.25  0.406  2.50E+00 1.41E+00 8.97E+00 1.06E-01 2.73E-01 3.35E-01 2.95E-01 2.05E-01 1.16E-01 5.42E-02 2.12E-02 7.00E-03 1.95E-03 4.62E-04 9.26E-05 1.58E-05 2.30E-06 2.85E-07 3.01E-08 2.71E-09 2.09E-10 1.38E-11 7.73E-13 3.72E-14 1.53E-15 5.37E-17 1.61E-18 4.15E-20 9.13E-22 1.72E-23 2.77E-25 3.82E-27 4.51E-29
   1.50  0.445  3.35E+00 1.70E+00 1.08E+01 1.28E-01 3.30E-01 4.04E-01 3.56E-01 2.47E-01 1.40E-01 6.53E-02 2.56E-02 8.45E-03 2.36E-03 5.57E-04 1.12E-04 1.91E-05 2.77E-06 3.43E-07 3.63E-08 3.27E-09 2.52E-10 1.66E-11 9.33E-13 4.48E-14 1.84E-15 6.47E-17 1.95E-18 5.00E-20 1.10E-21 2.07E-23 3.34E-25 4.60E-27 5.43E-29
   1.75  0.481  4.37E+00 2.04E+00 1.30E+01 1.55E-01 3.98E-01 4.87E-01 4.29E-01 2.98E-01 1.68E-01 7.88E-02 3.09E-02 1.02E-02 2.84E-03 6.71E-04 1.35E-04 2.30E-05 3.34E-06 4.14E-07 4.38E-08 3.95E-09 3.04E-10 2.00E-11 1.12E-12 5.41E-14 2.22E-15 7.81E-17 2.35E-18 6.03E-20 1.33E-21 2.50E-23 4.03E-25 5.55E-27 6.55E-29
   2.00  0.514  5.61E+00 2.47E+00 1.57E+01 1.87E-01 4.80E-01 5.87E-01 5.18E-01 3.59E-01 2.03E-01 9.50E-02 3.72E-02 1.23E-02 3.43E-03 8.10E-04 1.62E-04 2.77E-05 4.03E-06 5.00E-07 5.28E-08 4.76E-09 3.67E-10 2.41E-11 1.36E-12 6.52E-14 2.68E-15 9.41E-17 2.83E-18 7.28E-20 1.60E-21 3.01E-23 4.86E-25 6.70E-27 7.90E-29
   2.25  0.545  7.09E+00 2.97E+00 1.90E+01 2.25E-01 5.79E-01 7.08E-01 6.24E-01 4.33E-01 2.45E-01 1.15E-01 4.49E-02 1.48E-02 4.13E-03 9.76E-04 1.96E-04 3.34E-05 4.86E-06 6.02E-07 6.37E-08 5.74E-09 4.42E-10 2.91E-11 1.64E-12 7.86E-14 3.23E-15 1.14E-16 3.41E-18 8.77E-20 1.93E-21 3.63E-23 5.86E-25 8.08E-27 9.53E-29
   2.50  0.574  8.89E+00 3.59E+00 2.29E+01 2.71E-01 6.98E-01 8.54E-01 7.53E-01 5.22E-01 2.95E-01 1.38E-01 5.42E-02 1.79E-02 4.98E-03 1.18E-03 2.36E-04 4.03E-05 5.86E-06 7.27E-07 7.68E-08 6.93E-09 5.33E-10 3.51E-11 1.97E-12 9.48E-14 3.90E-15 1.37E-16 4.12E-18 1.06E-19 2.33E-21 4.38E-23 7.06E-25 9.74E-27 1.15E-28
   2.75  0.602  1.10E+01 4.33E+00 2.76E+01 3.27E-01 8.40E-01 1.03E+00 9.08E-01 6.30E-01 3.57E-01 1.67E-01 6.57E-02 2.17E-02 6.07E-03 1.44E-03 2.90E-04 4.96E-05 7.24E-06 9.01E-07 9.56E-08 8.66E-09 6.70E-10 4.43E-11 2.50E-12 1.21E-13 5.00E-15 1.77E-16 5.35E-18 1.39E-19 3.07E-21 5.82E-23 9.45E-25 1.31E-26 1.56E-28
   3.00  0.629  1.37E+01 5.22E+00 3.37E+01 3.84E-01 9.93E-01 1.22E+00 1.09E+00 7.71E-01 4.44E-01 2.13E-01 8.60E-02 2.93E-02 8.48E-03 2.09E-03 4.38E-04 7.86E-05 1.20E-05 1.58E-06 1.77E-07 1.71E-08 1.41E-09 9.99E-11 6.07E-12 3.16E-13 1.42E-14 5.44E-16 1.80E-17 5.10E-19 1.24E-20 2.60E-22 4.68E-24 7.23E-26 9.60E-28
   3.25  0.655  1.68E+01 6.29E+00 4.12E+01 4.53E-01 1.17E+00 1.46E+00 1.32E+00 9.41E-01 5.53E-01 2.71E-01 1.12E-01 3.93E-02 1.18E-02 3.00E-03 6.55E-04 1.23E-04 1.97E-05 2.72E-06 3.23E-07 3.29E-08 2.89E-09 2.18E-10 1.42E-11 7.96E-13 3.85E-14 1.60E-15 5.74E-17 1.78E-18 4.74E-20 1.09E-21 2.16E-23 3.70E-25 5.45E-27
   3.50  0.680  2.06E+01 7.59E+00 5.03E+01 5.33E-01 1.39E+00 1.74E+00 1.58E+00 1.15E+00 6.86E-01 3.43E-01 1.45E-01 5.25E-02 1.62E-02 4.27E-03 9.69E-04 1.89E-04 3.18E-05 4.60E-06 5.75E-07 6.19E-08 5.77E-09 4.64E-10 3.22E-11 1.93E-12 1.00E-13 4.51E-15 1.75E-16 5.89E-18 1.71E-19 4.30E-21 9.37E-23 1.76E-24 2.88E-26
   3.75  0.703  2.52E+01 9.15E+00 6.13E+01 6.29E-01 1.64E+00 2.07E+00 1.90E+00 1.40E+00 8.49E-01 4.34E-01 1.88E-01 6.96E-02 2.21E-02 6.03E-03 1.42E-03 2.88E-04 5.05E-05 7.66E-06 1.01E-06 1.14E-07 1.12E-08 9.59E-10 7.09E-11 4.55E-12 2.53E-13 1.22E-14 5.12E-16 1.86E-17 5.87E-19 1.61E-20 3.83E-22 7.91E-24 1.42E-25
   4.00  0.727  3.07E+01 1.10E+01 7.48E+01 7.41E-01 1.94E+00 2.46E+00 2.29E+00 1.70E+00 1.05E+00 5.46E-01 2.42E-01 9.19E-02 3.00E-02 8.46E-03 2.06E-03 4.34E-04 7.93E-05 1.26E-05 1.73E-06 2.06E-07 2.14E-08 1.94E-09 1.52E-10 1.04E-11 6.17E-13 3.19E-14 1.44E-15 5.63E-17 1.92E-18 5.71E-20 1.48E-21 3.34E-23 6.56E-25
   4.25  0.749  3.73E+01 1.33E+01 9.12E+01 8.75E-01 2.30E+00 2.93E+00 2.75E+00 2.07E+00 1.30E+00 6.86E-01 3.11E-01 1.21E-01 4.05E-02 1.18E-02 2.96E-03 6.47E-04 1.23E-04 2.03E-05 2.92E-06 3.66E-07 4.00E-08 3.82E-09 3.17E-10 2.30E-11 1.46E-12 8.04E-14 3.88E-15 1.64E-16 6.02E-18 1.93E-19 5.43E-21 1.33E-22 2.86E-24
   4.50  0.771  4.54E+01 1.61E+01 1.11E+02 1.03E+00 2.72E+00 3.49E+00 3.30E+00 2.51E+00 1.60E+00 8.61E-01 3.97E-01 1.58E-01 5.45E-02 1.63E-02 4.23E-03 9.56E-04 1.88E-04 3.24E-05 4.87E-06 6.39E-07 7.34E-08 7.36E-09 6.46E-10 4.96E-11 3.34E-12 1.96E-13 1.01E-14 4.57E-16 1.81E-17 6.26E-19 1.90E-20 5.05E-22 1.18E-23
   4.75  0.792  5.50E+01 1.94E+01 1.36E+02 1.22E+00 3.22E+00 4.15E+00 3.96E+00 3.05E+00 1.97E+00 1.08E+00 5.07E-01 2.06E-01 7.28E-02 2.24E-02 5.99E-03 1.40E-03 2.86E-04 5.11E-05 8.01E-06 1.10E-06 1.32E-07 1.39E-08 1.29E-09 1.05E-10 7.44E-12 4.66E-13 2.56E-14 1.23E-15 5.22E-17 1.94E-18 6.35E-20 1.82E-21 4.60E-23
   5.00  0.812  6.67E+01 2.33E+01 1.65E+02 1.44E+00 3.81E+00 4.95E+00 4.75E+00 3.70E+00 2.42E+00 1.35E+00 6.45E-01 2.68E-01 9.69E-02 3.05E-02 8.42E-03 2.03E-03 4.30E-04 7.97E-05 1.30E-05 1.86E-06 2.34E-07 2.58E-08 2.51E-09 2.15E-10 1.62E-11 1.07E-12 6.26E-14 3.22E-15 1.45E-16 5.80E-18 2.03E-19 6.29E-21 1.71E-22
   5.50  0.852  1.01E+02 3.40E+01 2.45E+02 2.01E+00 5.36E+00 7.02E+00 6.84E+00 5.44E+00 3.64E+00 2.09E+00 1.04E+00 4.48E-01 1.69E-01 5.61E-02 1.63E-02 4.18E-03 9.44E-04 1.88E-04 3.29E-05 5.10E-06 6.98E-07 8.44E-08 9.02E-09 8.52E-10 7.12E-11 5.26E-12 3.44E-13 1.99E-14 1.02E-15 4.63E-17 1.86E-18 6.60E-20 2.08E-21
   6.00  0.890  1.50E+02 4.94E+01 3.64E+02 2.82E+00 7.53E+00 9.96E+00 9.85E+00 7.97E+00 5.45E+00 3.22E+00 1.65E+00 7.40E-01 2.91E-01 1.01E-01 3.09E-02 8.37E-03 2.00E-03 4.25E-04 7.99E-05 1.33E-05 1.97E-06 2.59E-07 3.02E-08 3.13E-09 2.88E-10 2.35E-11 1.71E-12 1.10E-13 6.35E-15 3.24E-16 1.47E-17 5.95E-19 2.14E-20
   6.50  0.926  2.22E+02 7.18E+01 5.39E+02 3.95E+00 1.06E+01 1.41E+01 1.42E+01 1.17E+01 8.15E+00 4.93E+00 2.60E+00 1.21E+00 4.95E-01 1.79E-01 5.74E-02 1.64E-02 4.14E-03 9.31E-04 1.87E-04 3.33E-05 5.29E-06 7.51E-07 9.49E-08 1.07E-08 1.08E-09 9.66E-11 7.75E-12 5.54E-13 3.54E-14 2.02E-15 1.03E-16 4.68E-18 1.90E-19
   7.00  0.961  3.26E+02 1.04E+02 7.98E+02 5.55E+00 1.49E+01 2.01E+01 2.04E+01 1.70E+01 1.21E+01 7.52E+00 4.08E+00 1.96E+00 8.29E-01 3.12E-01 1.05E-01 3.12E-02 8.32E-03 1.98E-03 4.21E-04 8.00E-05 1.36E-05 2.07E-06 2.82E-07 3.44E-08 3.76E-09 3.68E-10 3.23E-11 2.54E-12 1.79E-13 1.13E-14 6.43E-16 3.27E-17 1.49E-18
   7.50  0.995  4.78E+02 1.52E+02 1.18E+03 7.80E+00 2.11E+01 2.85E+01 2.92E+01 2.48E+01 1.80E+01 1.14E+01 6.36E+00 3.14E+00 1.38E+00 5.37E-01 1.87E-01 5.85E-02 1.63E-02 4.09E-03 9.20E-04 1.85E-04 3.36E-05 5.46E-06 7.98E-07 1.05E-07 1.24E-08 1.31E-09 1.25E-10 1.08E-11 8.34E-13 5.80E-14 3.63E-15 2.05E-16 1.04E-17
   8.00  1.027  6.99E+02 2.21E+02 1.75E+03 1.10E+01 2.98E+01 4.06E+01 4.20E+01 3.61E+01 2.67E+01 1.73E+01 9.85E+00 5.00E+00 2.26E+00 9.13E-01 3.31E-01 1.08E-01 3.14E-02 8.26E-03 1.95E-03 4.16E-04 7.99E-05 1.38E-05 2.16E-06 3.03E-07 3.85E-08 4.41E-09 4.56E-10 4.25E-11 3.58E-12 2.73E-13 1.87E-14 1.16E-15 6.51E-17
   8.50  1.059  1.02E+03 3.21E+02 2.58E+03 1.55E+01 4.21E+01 5.77E+01 6.03E+01 5.25E+01 3.95E+01 2.60E+01 1.52E+01 7.90E+00 3.68E+00 1.54E+00 5.76E-01 1.95E-01 5.93E-02 1.63E-02 4.05E-03 9.08E-04 1.84E-04 3.37E-05 5.59E-06 8.39E-07 1.14E-07 1.40E-08 1.56E-09 1.57E-10 1.44E-11 1.19E-12 8.90E-14 6.04E-15 3.72E-16
   9.00  1.090  1.49E+03 4.67E+02 3.82E+03 2.18E+01 5.95E+01 8.21E+01 8.66E+01 7.64E+01 5.82E+01 3.91E+01 2.33E+01 1.24E+01 5.94E+00 2.55E+00 9.91E-01 3.47E-01 1.10E-01 3.16E-02 8.20E-03 1.93E-03 4.12E-04 7.97E-05 1.40E-05 2.23E-06 3.23E-07 4.24E-08 5.06E-09 5.48E-10 5.40E-11 4.83E-12 3.92E-13 2.90E-14 1.95E-15
   9.50  1.120  2.17E+03 6.80E+02 5.63E+03 3.07E+01 8.42E+01 1.17E+02 1.24E+02 1.11E+02 8.57E+01 5.85E+01 3.56E+01 1.94E+01 9.52E+00 4.21E+00 1.69E+00 6.12E-01 2.01E-01 6.00E-02 1.63E-02 4.00E-03 8.97E-04 1.83E-04 3.38E-05 5.71E-06 8.77E-07 1.23E-07 1.56E-08 1.81E-09 1.91E-10 1.84E-11 1.62E-12 1.29E-13 9.43E-15
  10.00  1.149  3.16E+03 9.89E+02 8.32E+03 4.34E+01 1.19E+02 1.66E+02 1.78E+02 1.61E+02 1.26E+02 8.74E+01 5.42E+01 3.02E+01 1.52E+01 6.89E+00 2.84E+00 1.06E+00 3.62E-01 1.12E-01 3.16E-02 8.13E-03 1.91E-03 4.07E-04 7.94E-05 1.41E-05 2.29E-06 3.40E-07 4.61E-08 5.70E-09 6.44E-10 6.65E-11 6.27E-12 5.40E-13 4.26E-14
  11.00  1.205  7.34E+03 2.09E+03 1.81E+04 8.69E+01 2.40E+02 3.38E+02 3.68E+02 3.38E+02 2.71E+02 1.94E+02 1.24E+02 7.20E+01 3.78E+01 1.81E+01 7.85E+00 3.12E+00 1.13E+00 3.75E-01 1.14E-01 3.17E-02 8.06E-03 1.88E-03 4.03E-04 7.90E-05 1.42E-05 2.35E-06 3.56E-07 4.96E-08 6.33E-09 7.42E-10 7.99E-11 7.90E-12 7.17E-13
  12.00  1.258  1.62E+04 4.43E+03 3.93E+04 1.74E+02 4.83E+02 6.86E+02 7.57E+02 7.08E+02 5.81E+02 4.26E+02 2.82E+02 1.69E+02 9.24E+01 4.61E+01 2.10E+01 8.81E+00 3.38E+00 1.19E+00 3.87E-01 1.15E-01 3.17E-02 7.99E-03 1.86E-03 3.98E-04 7.86E-05 1.43E-05 2.40E-06 3.71E-07 5.28E-08 6.94E-09 8.41E-10 9.40E-11 9.69E-12
  13.00  1.310  3.49E+04 9.35E+03 8.53E+04 3.50E+02 9.73E+02 1.39E+03 1.56E+03 1.48E+03 1.24E+03 9.31E+02 6.33E+02 3.92E+02 2.22E+02 1.15E+02 5.50E+01 2.42E+01 9.77E+00 3.65E+00 1.26E+00 3.99E-01 1.17E-01 3.18E-02 7.98E-03 1.85E-03 3.98E-04 7.90E-05 1.45E-05 2.47E-06 3.89E-07 5.67E-08 7.66E-09 9.57E-10 1.11E-10
  14.00  1.359  7.36E+04 1.94E+04 1.81E+05 6.90E+02 1.93E+03 2.78E+03 3.14E+03 3.02E+03 2.58E+03 1.98E+03 1.38E+03 8.81E+02 5.15E+02 2.77E+02 1.38E+02 6.32E+01 2.68E+01 1.05E+01 3.82E+00 1.29E+00 4.02E-01 1.17E-01 3.13E-02 7.82E-03 1.81E-03 3.90E-04 7.78E-05 1.44E-05 2.49E-06 3.99E-07 5.94E-08 8.22E-09 1.06E-09
  15.00  1.407  1.52E+05 3.91E+04 3.73E+05 1.33E+03 3.73E+03 5.42E+03 6.17E+03 6.02E+03 5.22E+03 4.08E+03 2.91E+03 1.90E+03 1.15E+03 6.37E+02 3.27E+02 1.56E+02 6.89E+01 2.83E+01 1.08E+01 3.82E+00 1.26E+00 3.86E-01 1.10E-01 2.93E-02 7.24E-03 1.67E-03 3.59E-04 7.18E-05 1.34E-05 2.33E-06 3.78E-07 5.71E-08 8.05E-09
  16.00  1.453  3.06E+05 7.70E+04 7.52E+05 2.52E+03 7.08E+03 1.03E+04 1.19E+04 1.17E+04 1.03E+04 8.20E+03 5.96E+03 3.98E+03 2.46E+03 1.40E+03 7.45E+02 3.67E+02 1.68E+02 7.16E+01 2.85E+01 1.05E+01 3.64E+00 1.17E+00 3.53E-01 9.93E-02 2.60E-02 6.38E-03 1.46E-03 3.13E-04 6.26E-05 1.17E-05 2.04E-06 3.34E-07 5.10E-08
  17.00  1.498  6.03E+05 1.49E+05 1.48E+06 4.69E+03 1.32E+04 1.94E+04 2.24E+04 2.23E+04 1.99E+04 1.61E+04 1.19E+04 8.10E+03 5.11E+03 2.99E+03 1.63E+03 8.27E+02 3.91E+02 1.73E+02 7.12E+01 2.74E+01 9.88E+00 3.33E+00 1.05E+00 3.10E-01 8.57E-02 2.22E-02 5.37E-03 1.22E-03 2.60E-04 5.18E-05 9.67E-06 1.69E-06 2.78E-07
  18.00  1.541  1.17E+06 2.82E+05 2.85E+06 8.57E+03 2.42E+04 3.57E+04 4.15E+04 4.18E+04 3.76E+04 3.08E+04 2.31E+04 1.60E+04 1.03E+04 6.18E+03 3.45E+03 1.80E+03 8.75E+02 3.99E+02 1.70E+02 6.78E+01 2.54E+01 8.90E+00 2.93E+00 9.03E-01 2.61E-01 7.10E-02 1.81E-02 4.34E-03 9.76E-04 2.06E-04 4.09E-05 7.61E-06 1.33E-06
  19.00  1.583  2.22E+06 5.25E+05 5.41E+06 1.55E+04 4.37E+04 6.47E+04 7.58E+04 7.69E+04 6.98E+04 5.78E+04 4.41E+04 3.11E+04 2.04E+04 1.24E+04 7.10E+03 3.79E+03 1.89E+03 8.86E+02 3.89E+02 1.60E+02 6.21E+01 2.26E+01 7.71E+00 2.48E+00 7.48E-01 2.12E-01 5.67E-02 1.43E-02 3.37E-03 7.49E-04 1.57E-04 3.09E-05 5.73E-06
  20.00  1.625  4.14E+06 9.63E+05 1.01E+07 2.75E+04 7.78E+04 1.16E+05 1.36E+05 1.39E+05 1.28E+05 1.07E+05 8.24E+04 5.90E+04 3.93E+04 2.44E+04 1.42E+04 7.76E+03 3.97E+03 1.91E+03 8.60E+02 3.65E+02 1.46E+02 5.48E+01 1.94E+01 6.45E+00 2.02E+00 5.98E-01 1.67E-01 4.37E-02 1.08E-02 2.52E-03 5.54E-04 1.15E-04 2.25E-05
  22.50  1.723  2.47E+07 4.11E+06 4.46E+07 1.09E+05 3.11E+05 4.66E+05 5.56E+05 5.77E+05 5.39E+05 4.62E+05 3.66E+05 2.70E+05 1.87E+05 1.21E+05 7.34E+04 4.19E+04 2.26E+04 1.15E+04 5.48E+03 2.48E+03 1.06E+03 4.26E+02 1.62E+02 5.84E+01 1.99E+01 6.41E+00 1.95E+00 5.63E-01 1.53E-01 3.96E-02 9.68E-03 2.24E-03 4.90E-04
  25.00  1.816  1.06E+08 1.63E+07 1.82E+08 4.07E+05 1.16E+06 1.75E+06 2.11E+06 2.21E+06 2.10E+06 1.84E+06 1.49E+06 1.13E+06 8.02E+05 5.36E+05 3.37E+05 2.00E+05 1.12E+05 5.97E+04 3.00E+04 1.43E+04 6.42E+03 2.74E+03 1.11E+03 4.27E+02 1.55E+02 5.37E+01 1.76E+01 5.48E+00 1.62E+00 4.55E-01 1.21E-01 3.07E-02 7.37E-03
  30.00  1.990  2.21E+09 2.10E+08 2.48E+09 4.74E+06 1.36E+07 2.07E+07 2.53E+07 2.71E+07 2.64E+07 2.38E+07 2.00E+07 1.58E+07 1.17E+07 8.23E+06 5.47E+06 3.45E+06 2.07E+06 1.18E+06 6.37E+05 3.28E+05 1.61E+05 7.53E+04 3.35E+04 1.42E+04 5.76E+03 2.22E+03 8.18E+02 2.87E+02 9.62E+01 3.08E+01 9.38E+00 2.73E+00 7.59E-01
  40.00  2.298  4.01E+11 2.00E+10 2.55E+11 3.83E+08 1.11E+09 1.71E+09 2.13E+09 2.35E+09 2.36E+09 2.22E+09 1.95E+09 1.62E+09 1.28E+09 9.63E+08 6.90E+08 4.72E+08 3.08E+08 1.93E+08 1.15E+08 6.63E+07 3.65E+07 1.92E+07 9.73E+06 4.73E+06 2.20E+06 9.86E+05 4.24E+05 1.75E+05 6.93E+04 2.64E+04 9.65E+03 3.39E+03 1.15E+03
  50.00  2.569  2.26E+13 1.11E+12 1.50E+13 1.89E+10 5.47E+10 8.52E+10 1.08E+11 1.21E+11 1.24E+11 1.20E+11 1.09E+11 9.37E+10 7.70E+10 6.04E+10 4.54E+10 3.28E+10 2.27E+10 1.51E+10 9.66E+09 5.95E+09 3.53E+09 2.02E+09 1.11E+09 5.88E+08 3.01E+08 1.48E+08 7.06E+07 3.24E+07 1.43E+07 6.12E+06 2.52E+06 1.00E+06 3.86E+05
  60.00  2.814  8.65E+14 4.21E+13 5.99E+14 6.51E+11 1.89E+12 2.96E+12 3.78E+12 4.29E+12 4.49E+12 4.41E+12 4.09E+12 3.62E+12 3.06E+12 2.48E+12 1.93E+12 1.45E+12 1.04E+12 7.27E+11 4.88E+11 3.16E+11 1.98E+11 1.20E+11 7.00E+10 3.96E+10 2.16E+10 1.14E+10 5.86E+09 2.90E+09 1.39E+09 6.45E+08 2.90E+08 1.26E+08 5.31E+07
  70.00  3.039  2.49E+16 1.20E+15 1.78E+16 1.71E+13 4.98E+13 7.84E+13 1.01E+14 1.15E+14 1.22E+14 1.22E+14 1.15E+14 1.04E+14 8.97E+13 7.45E+13 5.96E+13 4.59E+13 3.42E+13 2.46E+13 1.72E+13 1.16E+13 7.54E+12 4.77E+12 2.92E+12 1.73E+12 9.97E+11 5.56E+11 3.01E+11 1.58E+11 8.05E+10 3.98E+10 1.91E+10 8.89E+09 4.02E+09
  80.00  3.249  5.69E+17 2.72E+16 4.18E+17 3.61E+14 1.05E+15 1.67E+15 2.15E+15 2.49E+15 2.66E+15 2.68E+15 2.57E+15 2.35E+15 2.07E+15 1.75E+15 1.43E+15 1.13E+15 8.63E+14 6.38E+14 4.58E+14 3.18E+14 2.14E+14 1.40E+14 8.92E+13 5.50E+13 3.30E+13 1.92E+13 1.09E+13 5.98E+12 3.20E+12 1.66E+12 8.40E+11 4.13E+11 1.97E+11
  90.00  3.446  1.08E+19 5.12E+17 8.11E+18 6.39E+15 1.87E+16 2.97E+16 3.85E+16 4.48E+16 4.83E+16 4.91E+16 4.76E+16 4.41E+16 3.93E+16 3.39E+16 2.81E+16 2.27E+16 1.77E+16 1.34E+16 9.81E+15 6.99E+15 4.84E+15 3.26E+15 2.14E+15 1.36E+15 8.43E+14 5.09E+14 2.99E+14 1.71E+14 9.49E+13 5.14E+13 2.71E+13 1.39E+13 6.98E+12
 100.00  3.633  1.76E+20 8.25E+18 1.34E+20 9.75E+16 2.86E+17 4.54E+17 5.92E+17 6.92E+17 7.52E+17 7.70E+17 7.53E+17 7.06E+17 6.37E+17 5.56E+17 4.69E+17 3.83E+17 3.04E+17 2.34E+17 1.76E+17 1.28E+17 9.06E+16 6.25E+16 4.20E+16 2.75E+16 1.75E+16 1.09E+16 6.58E+15 3.88E+15 2.23E+15 1.25E+15 6.86E+14 3.66E+14 1.90E+14
 110.00  3.810  2.50E+21 1.16E+20 1.94E+21 1.31E+18 3.84E+18 6.12E+18 8.00E+18 9.40E+18 1.03E+19 1.06E+19 1.04E+19 9.87E+18 9.01E+18 7.94E+18 6.79E+18 5.63E+18 4.53E+18 3.55E+18 2.70E+18 2.01E+18 1.45E+18 1.02E+18 7.00E+17 4.69E+17 3.06E+17 1.95E+17 1.21E+17 7.35E+16 4.35E+16 2.51E+16 1.42E+16 7.81E+15 4.20E+15
 120.00  3.979  3.17E+22 1.46E+21 2.49E+22 1.57E+19 4.62E+19 7.37E+19 9.67E+19 1.14E+20 1.25E+20 1.30E+20 1.29E+20 1.23E+20 1.13E+20 1.01E+20 8.71E+19 7.30E+19 5.96E+19 4.73E+19 3.66E+19 2.76E+19 2.03E+19 1.45E+19 1.02E+19 6.94E+18 4.62E+18 3.01E+18 1.91E+18 1.19E+18 7.21E+17 4.28E+17 2.48E+17 1.40E+17 7.77E+16
 130.00  4.142  3.64E+23 1.66E+22 2.89E+23 1.71E+20 5.04E+20 8.05E+20 1.06E+21 1.25E+21 1.38E+21 1.44E+21 1.44E+21 1.38E+21 1.28E+21 1.15E+21 1.00E+21 8.52E+20 7.03E+20 5.65E+20 4.43E+20 3.38E+20 2.52E+20 1.84E+20 1.31E+20 9.08E+19 6.16E+19 4.09E+19 2.65E+19 1.68E+19 1.04E+19 6.33E+18 3.76E+18 2.18E+18 1.24E+18
 140.00  4.298  3.81E+24 1.72E+23 3.06E+24 1.71E+21 5.04E+21 8.07E+21 1.06E+22 1.26E+22 1.40E+22 1.46E+22 1.47E+22 1.42E+22 1.33E+22 1.20E+22 1.06E+22 9.04E+21 7.54E+21 6.12E+21 4.85E+21 3.76E+21 2.84E+21 2.10E+21 1.51E+21 1.07E+21 7.36E+20 4.97E+20 3.28E+20 2.12E+20 1.34E+20 8.30E+19 5.03E+19 2.98E+19 1.73E+19
