                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 1  *
 170.00  4.716  2.71E+28 1.20E+27 2.13E+28 2.15E+25 4.19E+25 6.00E+25 7.51E+25 8.66E+25 9.41E+25 9.77E+25 9.76E+25 9.42E+25 8.82E+25 8.03E+25 7.12E+25 6.16E+25 5.20E+25 4.29E+25 3.46E+25 2.73E+25 2.11E+25 1.60E+25 1.18E+25 8.60E+24 6.12E+24 4.26E+24 2.91E+24 1.95E+24 1.28E+24 8.27E+23 5.23E+23 3.24E+23 1.97E+23
 180.00  4.853  2.28E+29 1.00E+28 1.80E+29 1.74E+26 3.39E+26 4.86E+26 6.10E+26 7.04E+26 7.68E+26 7.99E+26 8.01E+26 7.77E+26 7.31E+26 6.69E+26 5.97E+26 5.20E+26 4.42E+26 3.68E+26 2.99E+26 2.38E+26 1.86E+26 1.42E+26 1.06E+26 7.78E+25 5.60E+25 3.95E+25 2.73E+25 1.85E+25 1.23E+25 8.06E+24 5.17E+24 3.25E+24 2.01E+24
 190.00  4.986  1.80E+30 7.88E+28 1.43E+30 1.33E+27 2.59E+27 3.72E+27 4.68E+27 5.42E+27 5.92E+27 6.18E+27 6.22E+27 6.06E+27 5.72E+27 5.27E+27 4.72E+27 4.14E+27 3.54E+27 2.96E+27 2.43E+27 1.95E+27 1.53E+27 1.18E+27 8.92E+26 6.61E+26 4.80E+26 3.42E+26 2.39E+26 1.64E+26 1.11E+26 7.33E+25 4.76E+25 3.04E+25 1.90E+25
 200.00  5.116  1.36E+31 5.88E+29 1.08E+31 9.66E+27 1.88E+28 2.71E+28 3.41E+28 3.96E+28 4.34E+28 4.54E+28 4.58E+28 4.48E+28 4.25E+28 3.93E+28 3.54E+28 3.12E+28 2.69E+28 2.26E+28 1.87E+28 1.51E+28 1.20E+28 9.28E+27 7.07E+27 5.29E+27 3.88E+27 2.79E+27 1.97E+27 1.37E+27 9.33E+26 6.25E+26 4.11E+26 2.65E+26 1.68E+26

                    ************************************************************************************************
                    *  Z= 27 A= 59: Negative-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.181  5.56E-01 1.11E+00 6.14E+00 1.53E-01 2.45E-01 2.54E-01 2.01E-01 1.29E-01 6.87E-02 3.06E-02 1.15E-02 3.68E-03 1.00E-03 2.32E-04 4.61E-05 7.84E-06 1.14E-06 1.43E-07 1.53E-08 1.41E-09 1.12E-10 7.63E-12 4.47E-13 2.25E-14 9.75E-16 3.64E-17 1.17E-18 3.23E-20 7.67E-22 1.57E-23 2.77E-25 4.21E-27 5.51E-29
   0.50  0.256  1.24E+00 1.37E+00 7.54E+00 1.88E-01 3.01E-01 3.12E-01 2.47E-01 1.59E-01 8.43E-02 3.76E-02 1.41E-02 4.51E-03 1.23E-03 2.85E-04 5.66E-05 9.62E-06 1.40E-06 1.75E-07 1.88E-08 1.74E-09 1.37E-10 9.36E-12 5.48E-13 2.76E-14 1.20E-15 4.47E-17 1.43E-18 3.96E-20 9.42E-22 1.93E-23 3.40E-25 5.17E-27 6.76E-29
   0.75  0.313  2.08E+00 1.68E+00 9.26E+00 2.31E-01 3.69E-01 3.83E-01 3.04E-01 1.95E-01 1.04E-01 4.61E-02 1.74E-02 5.54E-03 1.51E-03 3.50E-04 6.95E-05 1.18E-05 1.72E-06 2.15E-07 2.31E-08 2.13E-09 1.69E-10 1.15E-11 6.73E-13 3.39E-14 1.47E-15 5.48E-17 1.76E-18 4.86E-20 1.16E-21 2.37E-23 4.18E-25 6.35E-27 8.30E-29
   1.00  0.362  3.11E+00 2.06E+00 1.14E+01 2.83E-01 4.54E-01 4.70E-01 3.73E-01 2.39E-01 1.27E-01 5.66E-02 2.13E-02 6.80E-03 1.85E-03 4.30E-04 8.53E-05 1.45E-05 2.11E-06 2.64E-07 2.84E-08 2.62E-09 2.07E-10 1.41E-11 8.27E-13 4.16E-14 1.80E-15 6.73E-17 2.16E-18 5.97E-20 1.42E-21 2.91E-23 5.13E-25 7.79E-27 1.02E-28
   1.25  0.404  4.37E+00 2.53E+00 1.40E+01 3.48E-01 5.57E-01 5.77E-01 4.58E-01 2.94E-01 1.56E-01 6.95E-02 2.62E-02 8.35E-03 2.27E-03 5.27E-04 1.05E-04 1.78E-05 2.60E-06 3.25E-07 3.48E-08 3.21E-09 2.54E-10 1.73E-11 1.01E-12 5.11E-14 2.22E-15 8.26E-17 2.65E-18 7.33E-20 1.74E-21 3.57E-23 6.30E-25 9.57E-27 1.25E-28
   1.50  0.443  5.92E+00 3.10E+00 1.71E+01 4.27E-01 6.84E-01 7.08E-01 5.62E-01 3.61E-01 1.92E-01 8.54E-02 3.21E-02 1.03E-02 2.79E-03 6.48E-04 1.29E-04 2.19E-05 3.19E-06 3.98E-07 4.28E-08 3.94E-09 3.12E-10 2.13E-11 1.25E-12 6.28E-14 2.72E-15 1.01E-16 3.26E-18 9.00E-20 2.14E-21 4.39E-23 7.73E-25 1.17E-26 1.54E-28
   1.75  0.479  7.83E+00 3.81E+00 2.11E+01 5.24E-01 8.39E-01 8.69E-01 6.90E-01 4.43E-01 2.35E-01 1.05E-01 3.94E-02 1.26E-02 3.42E-03 7.95E-04 1.58E-04 2.68E-05 3.91E-06 4.89E-07 5.25E-08 4.84E-09 3.84E-10 2.61E-11 1.53E-12 7.71E-14 3.34E-15 1.25E-16 4.00E-18 1.10E-19 2.63E-21 5.38E-23 9.50E-25 1.44E-26 1.89E-28
   2.00  0.512  1.02E+01 4.68E+00 2.58E+01 6.44E-01 1.03E+00 1.07E+00 8.47E-01 5.44E-01 2.89E-01 1.29E-01 4.84E-02 1.55E-02 4.20E-03 9.76E-04 1.94E-04 3.30E-05 4.80E-06 6.01E-07 6.45E-08 5.94E-09 4.71E-10 3.21E-11 1.88E-12 9.46E-14 4.10E-15 1.53E-16 4.91E-18 1.36E-19 3.23E-21 6.61E-23 1.17E-24 1.77E-26 2.32E-28
   2.25  0.543  1.30E+01 5.74E+00 3.20E+01 7.81E-01 1.25E+00 1.31E+00 1.04E+00 6.74E-01 3.62E-01 1.63E-01 6.21E-02 2.01E-02 5.57E-03 1.32E-03 2.67E-04 4.64E-05 6.92E-06 8.87E-07 9.79E-08 9.29E-09 7.59E-10 5.34E-11 3.23E-12 1.69E-13 7.60E-15 2.95E-16 9.86E-18 2.84E-19 7.08E-21 1.52E-22 2.81E-24 4.49E-26 6.18E-28
   2.50  0.572  1.66E+01 7.05E+00 3.98E+01 9.39E-01 1.52E+00 1.59E+00 1.28E+00 8.44E-01 4.61E-01 2.12E-01 8.31E-02 2.77E-02 7.92E-03 1.94E-03 4.09E-04 7.41E-05 1.16E-05 1.56E-06 1.81E-07 1.82E-08 1.58E-09 1.18E-10 7.67E-12 4.29E-13 2.08E-14 8.70E-16 3.15E-17 9.89E-19 2.68E-20 6.30E-22 1.28E-23 2.25E-25 3.43E-27
   2.75  0.600  2.09E+01 8.66E+00 4.95E+01 1.13E+00 1.83E+00 1.94E+00 1.58E+00 1.05E+00 5.87E-01 2.76E-01 1.11E-01 3.79E-02 1.12E-02 2.83E-03 6.20E-04 1.17E-04 1.91E-05 2.70E-06 3.30E-07 3.50E-08 3.21E-09 2.55E-10 1.76E-11 1.05E-12 5.48E-14 2.47E-15 9.65E-17 3.28E-18 9.66E-20 2.47E-21 5.49E-23 1.06E-24 1.78E-26
   3.00  0.627  2.62E+01 1.06E+01 6.16E+01 1.36E+00 2.21E+00 2.36E+00 1.95E+00 1.32E+00 7.45E-01 3.58E-01 1.47E-01 5.17E-02 1.57E-02 4.11E-03 9.31E-04 1.83E-04 3.11E-05 4.60E-06 5.90E-07 6.58E-08 6.37E-09 5.37E-10 3.94E-11 2.51E-12 1.39E-13 6.74E-15 2.83E-16 1.04E-17 3.31E-19 9.21E-21 2.23E-22 4.70E-24 8.64E-26
   3.25  0.652  3.27E+01 1.31E+01 7.66E+01 1.63E+00 2.67E+00 2.87E+00 2.40E+00 1.64E+00 9.44E-01 4.62E-01 1.94E-01 7.00E-02 2.18E-02 5.90E-03 1.38E-03 2.82E-04 5.00E-05 7.71E-06 1.04E-06 1.21E-07 1.24E-08 1.10E-09 8.57E-11 5.81E-12 3.44E-13 1.78E-14 8.01E-16 3.16E-17 1.09E-18 3.27E-20 8.58E-22 1.97E-23 3.95E-25
   3.50  0.677  4.07E+01 1.60E+01 9.52E+01 1.96E+00 3.23E+00 3.49E+00 2.94E+00 2.04E+00 1.19E+00 5.95E-01 2.55E-01 9.43E-02 3.03E-02 8.43E-03 2.04E-03 4.31E-04 7.94E-05 1.28E-05 1.79E-06 2.20E-07 2.36E-08 2.21E-09 1.82E-10 1.31E-11 8.22E-13 4.53E-14 2.18E-15 9.23E-17 3.41E-18 1.11E-19 3.14E-21 7.83E-23 1.71E-24
   3.75  0.700  5.06E+01 1.97E+01 1.18E+02 2.36E+00 3.90E+00 4.25E+00 3.62E+00 2.54E+00 1.51E+00 7.65E-01 3.34E-01 1.27E-01 4.17E-02 1.19E-02 2.99E-03 6.53E-04 1.25E-04 2.09E-05 3.05E-06 3.92E-07 4.41E-08 4.35E-09 3.77E-10 2.87E-11 1.91E-12 1.12E-13 5.76E-15 2.60E-16 1.03E-17 3.59E-19 1.10E-20 2.96E-22 7.00E-24
   4.00  0.723  6.27E+01 2.42E+01 1.47E+02 2.85E+00 4.72E+00 5.17E+00 4.44E+00 3.16E+00 1.90E+00 9.81E-01 4.37E-01 1.69E-01 5.71E-02 1.68E-02 4.34E-03 9.79E-04 1.94E-04 3.37E-05 5.13E-06 6.88E-07 8.10E-08 8.40E-09 7.65E-10 6.13E-11 4.33E-12 2.69E-13 1.47E-14 7.08E-16 3.00E-17 1.12E-18 3.69E-20 1.07E-21 2.73E-23
   4.25  0.746  7.75E+01 2.97E+01 1.83E+02 3.43E+00 5.70E+00 6.29E+00 5.45E+00 3.92E+00 2.39E+00 1.26E+00 5.70E-01 2.26E-01 7.79E-02 2.36E-02 6.25E-03 1.46E-03 2.98E-04 5.37E-05 8.52E-06 1.19E-06 1.46E-07 1.59E-08 1.52E-09 1.28E-10 9.56E-12 6.28E-13 3.64E-14 1.87E-15 8.44E-17 3.37E-18 1.19E-19 3.70E-21 1.02E-22
   4.50  0.767  9.57E+01 3.64E+01 2.27E+02 4.13E+00 6.90E+00 7.66E+00 6.69E+00 4.86E+00 3.01E+00 1.60E+00 7.42E-01 2.99E-01 1.06E-01 3.28E-02 8.95E-03 2.15E-03 4.55E-04 8.48E-05 1.40E-05 2.03E-06 2.61E-07 2.96E-08 2.97E-09 2.63E-10 2.06E-11 1.43E-12 8.79E-14 4.77E-15 2.29E-16 9.76E-18 3.68E-19 1.23E-20 3.62E-22
   4.75  0.788  1.18E+02 4.47E+01 2.82E+02 4.98E+00 8.35E+00 9.32E+00 8.21E+00 6.03E+00 3.78E+00 2.04E+00 9.62E-01 3.96E-01 1.43E-01 4.55E-02 1.27E-02 3.15E-03 6.87E-04 1.33E-04 2.26E-05 3.42E-06 4.57E-07 5.41E-08 5.68E-09 5.28E-10 4.35E-11 3.18E-12 2.06E-13 1.19E-14 6.05E-16 2.74E-17 1.10E-18 3.92E-20 1.24E-21
   5.00  0.809  1.46E+02 5.49E+01 3.50E+02 6.01E+00 1.01E+01 1.13E+01 1.01E+01 7.47E+00 4.73E+00 2.60E+00 1.24E+00 5.22E-01 1.93E-01 6.27E-02 1.80E-02 4.58E-03 1.03E-03 2.05E-04 3.63E-05 5.68E-06 7.90E-07 9.75E-08 1.07E-08 1.04E-09 9.00E-11 6.92E-12 4.73E-13 2.87E-14 1.55E-15 7.44E-17 3.18E-18 1.21E-19 4.07E-21
   5.50  0.848  2.28E+02 8.28E+01 5.38E+02 8.75E+00 1.48E+01 1.68E+01 1.51E+01 1.14E+01 7.42E+00 4.19E+00 2.07E+00 9.00E-01 3.46E-01 1.18E-01 3.55E-02 9.50E-03 2.26E-03 4.79E-04 9.04E-05 1.52E-05 2.27E-06 3.03E-07 3.61E-08 3.83E-09 3.63E-10 3.07E-11 2.31E-12 1.56E-13 9.37E-15 5.03E-16 2.41E-17 1.03E-18 3.95E-20
   6.00  0.886  3.53E+02 1.25E+02 8.28E+02 1.27E+01 2.17E+01 2.48E+01 2.27E+01 1.75E+01 1.16E+01 6.70E+00 3.41E+00 1.53E+00 6.12E-01 2.17E-01 6.84E-02 1.93E-02 4.83E-03 1.08E-03 2.17E-04 3.89E-05 6.24E-06 8.96E-07 1.15E-07 1.32E-08 1.36E-09 1.26E-10 1.04E-11 7.72E-13 5.13E-14 3.06E-15 1.63E-16 7.82E-18 3.36E-19
   6.50  0.922  5.41E+02 1.88E+02 1.27E+03 1.86E+01 3.18E+01 3.68E+01 3.41E+01 2.66E+01 1.80E+01 1.07E+01 5.59E+00 2.59E+00 1.07E+00 3.94E-01 1.30E-01 3.82E-02 1.01E-02 2.38E-03 5.05E-04 9.62E-05 1.64E-05 2.52E-06 3.48E-07 4.32E-08 4.81E-09 4.83E-10 4.35E-11 3.53E-12 2.57E-13 1.69E-14 9.97E-16 5.30E-17 2.53E-18
   7.00  0.957  8.25E+02 2.83E+02 1.96E+03 2.72E+01 4.67E+01 5.45E+01 5.10E+01 4.05E+01 2.79E+01 1.69E+01 9.08E+00 4.34E+00 1.85E+00 7.06E-01 2.42E-01 7.43E-02 2.05E-02 5.10E-03 1.14E-03 2.30E-04 4.17E-05 6.82E-06 1.01E-06 1.34E-07 1.60E-08 1.74E-09 1.70E-10 1.50E-11 1.19E-12 8.56E-14 5.55E-15 3.25E-16 1.72E-17
   7.50  0.991  1.25E+03 4.27E+02 3.01E+03 3.97E+01 6.86E+01 8.06E+01 7.64E+01 6.16E+01 4.32E+01 2.67E+01 1.47E+01 7.21E+00 3.17E+00 1.25E+00 4.44E-01 1.42E-01 4.10E-02 1.07E-02 2.51E-03 5.33E-04 1.02E-04 1.77E-05 2.78E-06 3.95E-07 5.08E-08 5.91E-09 6.23E-10 5.94E-11 5.13E-12 4.01E-13 2.84E-14 1.82E-15 1.06E-16
   8.00  1.023  1.90E+03 6.44E+02 4.61E+03 5.81E+01 1.01E+02 1.19E+02 1.14E+02 9.34E+01 6.66E+01 4.20E+01 2.36E+01 1.19E+01 5.38E+00 2.19E+00 8.06E-01 2.68E-01 8.04E-02 2.19E-02 5.38E-03 1.20E-03 2.43E-04 4.46E-05 7.42E-06 1.12E-06 1.54E-07 1.91E-08 2.16E-09 2.22E-10 2.07E-11 1.75E-12 1.35E-13 9.42E-15 5.98E-16
   8.50  1.055  2.87E+03 9.71E+02 7.07E+03 8.51E+01 1.48E+02 1.77E+02 1.71E+02 1.41E+02 1.03E+02 6.59E+01 3.78E+01 1.95E+01 9.06E+00 3.80E+00 1.44E+00 4.97E-01 1.55E-01 4.39E-02 1.13E-02 2.64E-03 5.61E-04 1.08E-04 1.91E-05 3.05E-06 4.45E-07 5.90E-08 7.13E-09 7.84E-10 7.85E-11 7.17E-12 5.96E-13 4.51E-14 3.12E-15
   9.00  1.085  4.33E+03 1.46E+03 1.08E+04 1.25E+02 2.18E+02 2.62E+02 2.56E+02 2.14E+02 1.57E+02 1.03E+02 6.03E+01 3.18E+01 1.52E+01 6.54E+00 2.56E+00 9.11E-01 2.95E-01 8.67E-02 2.32E-02 5.68E-03 1.26E-03 2.57E-04 4.75E-05 8.04E-06 1.24E-06 1.75E-07 2.24E-08 2.63E-09 2.82E-10 2.77E-11 2.47E-12 2.02E-13 1.51E-14
   9.50  1.115  6.54E+03 2.21E+03 1.66E+04 1.83E+02 3.21E+02 3.88E+02 3.82E+02 3.24E+02 2.41E+02 1.60E+02 9.57E+01 5.16E+01 2.52E+01 1.12E+01 4.50E+00 1.65E+00 5.52E-01 1.69E-01 4.70E-02 1.20E-02 2.78E-03 5.92E-04 1.15E-04 2.05E-05 3.33E-06 4.97E-07 6.77E-08 8.46E-09 9.67E-10 1.01E-10 9.70E-12 8.51E-13 6.85E-14
  10.00  1.144  9.86E+03 3.32E+03 2.54E+04 2.67E+02 4.71E+02 5.73E+02 5.69E+02 4.88E+02 3.69E+02 2.49E+02 1.52E+02 8.36E+01 4.18E+01 1.91E+01 7.92E+00 3.00E+00 1.04E+00 3.30E-01 9.58E-02 2.55E-02 6.20E-03 1.38E-03 2.83E-04 5.32E-05 9.17E-06 1.45E-06 2.10E-07 2.80E-08 3.42E-09 3.84E-10 3.95E-11 3.74E-12 3.25E-13
  11.00  1.200  2.45E+04 7.32E+03 5.79E+04 5.58E+02 9.90E+02 1.22E+03 1.23E+03 1.08E+03 8.36E+02 5.83E+02 3.68E+02 2.11E+02 1.10E+02 5.29E+01 2.32E+01 9.34E+00 3.45E+00 1.17E+00 3.66E-01 1.05E-01 2.79E-02 6.79E-03 1.53E-03 3.16E-04 6.02E-05 1.06E-05 1.72E-06 2.57E-07 3.54E-08 4.51E-09 5.29E-10 5.73E-11 5.73E-12
  12.00  1.253  5.59E+04 1.57E+04 1.28E+05 1.14E+03 2.03E+03 2.52E+03 2.59E+03 2.30E+03 1.83E+03 1.31E+03 8.51E+02 5.05E+02 2.75E+02 1.37E+02 6.31E+01 2.67E+01 1.04E+01 3.76E+00 1.25E+00 3.84E-01 1.09E-01 2.87E-02 6.97E-03 1.57E-03 3.26E-04 6.28E-05 1.12E-05 1.85E-06 2.83E-07 4.01E-08 5.26E-09 6.39E-10 7.20E-11
  13.00  1.304  1.21E+05 3.27E+04 2.74E+05 2.26E+03 4.07E+03 5.10E+03 5.29E+03 4.79E+03 3.88E+03 2.84E+03 1.89E+03 1.16E+03 6.52E+02 3.38E+02 1.62E+02 7.15E+01 2.92E+01 1.11E+01 3.89E+00 1.27E+00 3.83E-01 1.07E-01 2.79E-02 6.74E-03 1.51E-03 3.15E-04 6.11E-05 1.10E-05 1.84E-06 2.85E-07 4.12E-08 5.54E-09 6.92E-10
  14.00  1.353  2.55E+05 6.67E+04 5.72E+05 4.42E+03 7.98E+03 1.01E+04 1.06E+04 9.71E+03 7.99E+03 5.97E+03 4.08E+03 2.56E+03 1.48E+03 7.93E+02 3.93E+02 1.81E+02 7.71E+01 3.05E+01 1.12E+01 3.85E+00 1.23E+00 3.64E-01 1.01E-01 2.59E-02 6.20E-03 1.38E-03 2.88E-04 5.59E-05 1.01E-05 1.70E-06 2.68E-07 3.92E-08 5.36E-09
  15.00  1.401  5.21E+05 1.33E+05 1.17E+06 8.49E+03 1.54E+04 1.96E+04 2.07E+04 1.93E+04 1.61E+04 1.22E+04 8.52E+03 5.48E+03 3.25E+03 1.79E+03 9.16E+02 4.35E+02 1.93E+02 7.94E+01 3.05E+01 1.09E+01 3.65E+00 1.14E+00 3.31E-01 9.01E-02 2.29E-02 5.43E-03 1.21E-03 2.50E-04 4.84E-05 8.77E-06 1.48E-06 2.35E-07 3.48E-08
  16.00  1.447  1.04E+06 2.60E+05 2.33E+06 1.60E+04 2.91E+04 3.73E+04 3.98E+04 3.74E+04 3.16E+04 2.44E+04 1.74E+04 1.14E+04 6.92E+03 3.91E+03 2.05E+03 1.01E+03 4.60E+02 1.96E+02 7.83E+01 2.92E+01 1.02E+01 3.32E+00 1.01E+00 2.90E-01 7.75E-02 1.94E-02 4.56E-03 1.00E-03 2.07E-04 3.99E-05 7.23E-06 1.23E-06 1.95E-07
  17.00  1.491  2.04E+06 5.00E+05 4.57E+06 2.97E+04 5.43E+04 6.98E+04 7.51E+04 7.13E+04 6.11E+04 4.78E+04 3.45E+04 2.31E+04 1.43E+04 8.27E+03 4.46E+03 2.25E+03 1.06E+03 4.66E+02 1.92E+02 7.42E+01 2.69E+01 9.13E+00 2.91E+00 8.69E-01 2.44E-01 6.42E-02 1.59E-02 3.68E-03 8.02E-04 1.64E-04 3.15E-05 5.69E-06 9.65E-07
  18.00  1.535  3.93E+06 9.46E+05 8.79E+06 5.45E+04 9.96E+04 1.29E+05 1.40E+05 1.34E+05 1.16E+05 9.18E+04 6.72E+04 4.57E+04 2.89E+04 1.70E+04 9.40E+03 4.85E+03 2.35E+03 1.06E+03 4.52E+02 1.81E+02 6.77E+01 2.39E+01 7.90E+00 2.46E+00 7.19E-01 1.98E-01 5.12E-02 1.25E-02 2.86E-03 6.16E-04 1.25E-04 2.39E-05 4.29E-06
  19.00  1.577  7.45E+06 1.76E+06 1.66E+07 9.83E+04 1.80E+05 2.34E+05 2.55E+05 2.47E+05 2.16E+05 1.73E+05 1.28E+05 8.87E+04 5.70E+04 3.43E+04 1.93E+04 1.02E+04 5.05E+03 2.35E+03 1.03E+03 4.23E+02 1.64E+02 5.96E+01 2.04E+01 6.59E+00 2.01E+00 5.75E-01 1.55E-01 3.95E-02 9.48E-03 2.14E-03 4.57E-04 9.19E-05 1.74E-05
  20.00  1.618  1.39E+07 3.23E+06 3.10E+07 1.75E+05 3.22E+05 4.21E+05 4.61E+05 4.48E+05 3.96E+05 3.21E+05 2.41E+05 1.69E+05 1.10E+05 6.75E+04 3.87E+04 2.09E+04 1.06E+04 5.04E+03 2.26E+03 9.55E+02 3.80E+02 1.43E+02 5.06E+01 1.69E+01 5.32E+00 1.58E+00 4.45E-01 1.18E-01 2.95E-02 6.96E-03 1.55E-03 3.27E-04 6.52E-05
  22.50  1.716  8.33E+07 1.39E+07 1.38E+08 7.07E+05 1.31E+06 1.72E+06 1.91E+06 1.89E+06 1.70E+06 1.41E+06 1.09E+06 7.86E+05 5.31E+05 3.38E+05 2.02E+05 1.14E+05 6.05E+04 3.04E+04 1.44E+04 6.46E+03 2.74E+03 1.10E+03 4.17E+02 1.50E+02 5.10E+01 1.65E+01 5.02E+00 1.45E+00 3.98E-01 1.04E-01 2.55E-02 5.95E-03 1.32E-03
  25.00  1.809  3.61E+08 5.56E+07 5.72E+08 2.67E+06 4.96E+06 6.58E+06 7.39E+06 7.40E+06 6.77E+06 5.73E+06 4.52E+06 3.35E+06 2.33E+06 1.53E+06 9.44E+05 5.52E+05 3.06E+05 1.60E+05 7.96E+04 3.75E+04 1.68E+04 7.10E+03 2.86E+03 1.09E+03 3.96E+02 1.37E+02 4.48E+01 1.39E+01 4.12E+00 1.16E+00 3.10E-01 7.87E-02 1.90E-02
  30.00  1.981  7.79E+09 7.43E+08 8.08E+09 3.24E+07 6.06E+07 8.14E+07 9.28E+07 9.49E+07 8.91E+07 7.78E+07 6.37E+07 4.90E+07 3.57E+07 2.46E+07 1.60E+07 9.95E+06 5.87E+06 3.29E+06 1.76E+06 8.96E+05 4.35E+05 2.01E+05 8.88E+04 3.74E+04 1.50E+04 5.75E+03 2.10E+03 7.35E+02 2.45E+02 7.81E+01 2.38E+01 6.91E+00 1.92E+00
  40.00  2.288  1.54E+12 7.67E+10 9.07E+11 2.87E+09 5.42E+09 7.39E+09 8.62E+09 9.08E+09 8.83E+09 8.04E+09 6.90E+09 5.61E+09 4.34E+09 3.20E+09 2.25E+09 1.51E+09 9.73E+08 6.00E+08 3.54E+08 2.00E+08 1.09E+08 5.67E+07 2.84E+07 1.36E+07 6.28E+06 2.78E+06 1.18E+06 4.84E+05 1.90E+05 7.19E+04 2.61E+04 9.12E+03 3.06E+03
  50.00  2.558  9.46E+13 4.65E+12 5.87E+13 1.55E+11 2.95E+11 4.06E+11 4.81E+11 5.16E+11 5.14E+11 4.81E+11 4.26E+11 3.60E+11 2.90E+11 2.23E+11 1.65E+11 1.17E+11 7.97E+10 5.23E+10 3.30E+10 2.00E+10 1.17E+10 6.61E+09 3.59E+09 1.88E+09 9.53E+08 4.65E+08 2.19E+08 9.93E+07 4.35E+07 1.84E+07 7.52E+06 2.97E+06 1.13E+06
  60.00  2.802  3.95E+15 1.93E+14 2.56E+15 5.84E+12 1.12E+13 1.55E+13 1.85E+13 2.02E+13 2.05E+13 1.95E+13 1.77E+13 1.53E+13 1.27E+13 1.01E+13 7.76E+12 5.72E+12 4.07E+12 2.79E+12 1.85E+12 1.18E+12 7.29E+11 4.36E+11 2.52E+11 1.41E+11 7.60E+10 3.97E+10 2.01E+10 9.85E+09 4.67E+09 2.15E+09 9.55E+08 4.11E+08 1.72E+08
  70.00  3.026  1.23E+17 5.97E+15 8.28E+16 1.67E+14 3.20E+14 4.47E+14 5.40E+14 5.94E+14 6.10E+14 5.91E+14 5.46E+14 4.83E+14 4.09E+14 3.34E+14 2.63E+14 2.00E+14 1.47E+14 1.04E+14 7.15E+13 4.76E+13 3.06E+13 1.91E+13 1.16E+13 6.79E+12 3.86E+12 2.13E+12 1.14E+12 5.92E+11 2.99E+11 1.46E+11 6.94E+10 3.20E+10 1.43E+10
  80.00  3.235  3.05E+18 1.47E+17 2.11E+18 3.83E+15 7.36E+15 1.03E+16 1.26E+16 1.39E+16 1.45E+16 1.42E+16 1.33E+16 1.19E+16 1.03E+16 8.60E+15 6.91E+15 5.38E+15 4.05E+15 2.96E+15 2.09E+15 1.43E+15 9.55E+14 6.18E+14 3.88E+14 2.37E+14 1.40E+14 8.08E+13 4.52E+13 2.46E+13 1.30E+13 6.70E+12 3.35E+12 1.63E+12 7.73E+11
  90.00  3.432  6.26E+19 2.98E+18 4.43E+19 7.33E+16 1.41E+17 1.99E+17 2.43E+17 2.72E+17 2.84E+17 2.82E+17 2.67E+17 2.43E+17 2.13E+17 1.81E+17 1.48E+17 1.17E+17 9.03E+16 6.74E+16 4.88E+16 3.44E+16 2.35E+16 1.57E+16 1.01E+16 6.39E+15 3.92E+15 2.34E+15 1.36E+15 7.67E+14 4.23E+14 2.27E+14 1.18E+14 6.03E+13 2.99E+13
 100.00  3.617  1.10E+21 5.16E+19 7.91E+20 1.20E+18 2.33E+18 3.29E+18 4.04E+18 4.54E+18 4.78E+18 4.78E+18 4.58E+18 4.22E+18 3.74E+18 3.21E+18 2.67E+18 2.15E+18 1.69E+18 1.28E+18 9.49E+17 6.83E+17 4.79E+17 3.26E+17 2.17E+17 1.40E+17 8.84E+16 5.44E+16 3.26E+16 1.90E+16 1.08E+16 6.02E+15 3.26E+15 1.72E+15 8.88E+14
 110.00  3.794  1.67E+22 7.81E+20 1.23E+22 1.74E+19 3.36E+19 4.76E+19 5.87E+19 6.63E+19 7.03E+19 7.09E+19 6.85E+19 6.36E+19 5.71E+19 4.96E+19 4.18E+19 3.42E+19 2.72E+19 2.10E+19 1.58E+19 1.16E+19 8.28E+18 5.77E+18 3.92E+18 2.59E+18 1.68E+18 1.06E+18 6.50E+17 3.90E+17 2.29E+17 1.31E+17 7.31E+16 3.99E+16 2.13E+16
 120.00  3.963  2.27E+23 1.05E+22 1.69E+23 2.24E+20 4.33E+20 6.16E+20 7.61E+20 8.64E+20 9.21E+20 9.35E+20 9.09E+20 8.52E+20 7.72E+20 6.77E+20 5.77E+20 4.78E+20 3.85E+20 3.02E+20 2.31E+20 1.72E+20 1.25E+20 8.86E+19 6.13E+19 4.14E+19 2.73E+19 1.76E+19 1.11E+19 6.82E+18 4.10E+18 2.41E+18 1.38E+18 7.75E+17 4.25E+17
