                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
 160.00  4.094  5.91E+27 2.64E+26 5.59E+27 1.82E+24 5.38E+24 8.72E+24 1.17E+25 1.42E+25 1.63E+25 1.77E+25 1.85E+25 1.88E+25 1.85E+25 1.79E+25 1.68E+25 1.55E+25 1.40E+25 1.24E+25 1.07E+25 9.17E+24 7.69E+24 6.34E+24 5.14E+24 4.10E+24 3.22E+24 2.48E+24 1.89E+24 1.41E+24 1.04E+24 7.55E+23 5.40E+23 3.80E+23 2.64E+23
 170.00  4.220  5.15E+28 2.28E+27 4.90E+28 1.52E+25 4.51E+25 7.32E+25 9.85E+25 1.20E+26 1.37E+26 1.50E+26 1.57E+26 1.60E+26 1.58E+26 1.53E+26 1.45E+26 1.34E+26 1.22E+26 1.08E+26 9.46E+25 8.13E+25 6.86E+25 5.70E+25 4.66E+25 3.75E+25 2.96E+25 2.31E+25 1.77E+25 1.34E+25 9.98E+24 7.32E+24 5.29E+24 3.77E+24 2.64E+24
 180.00  4.343  4.23E+29 1.86E+28 4.04E+29 1.21E+26 3.57E+26 5.80E+26 7.81E+26 9.53E+26 1.09E+27 1.19E+27 1.26E+27 1.28E+27 1.28E+27 1.24E+27 1.17E+27 1.09E+27 9.95E+26 8.91E+26 7.83E+26 6.77E+26 5.75E+26 4.81E+26 3.96E+26 3.21E+26 2.56E+26 2.01E+26 1.56E+26 1.19E+26 8.92E+25 6.61E+25 4.82E+25 3.47E+25 2.46E+25
 190.00  4.462  3.28E+30 1.43E+29 3.15E+30 9.05E+26 2.68E+27 4.36E+27 5.87E+27 7.18E+27 8.23E+27 9.01E+27 9.52E+27 9.75E+27 9.72E+27 9.46E+27 9.01E+27 8.42E+27 7.71E+27 6.93E+27 6.13E+27 5.32E+27 4.55E+27 3.83E+27 3.17E+27 2.59E+27 2.08E+27 1.65E+27 1.28E+27 9.88E+26 7.49E+26 5.60E+26 4.13E+26 3.00E+26 2.15E+26
 200.00  4.577  2.42E+31 1.05E+30 2.34E+31 6.46E+27 1.91E+28 3.11E+28 4.20E+28 5.14E+28 5.91E+28 6.48E+28 6.86E+28 7.04E+28 7.04E+28 6.88E+28 6.57E+28 6.16E+28 5.67E+28 5.12E+28 4.55E+28 3.97E+28 3.41E+28 2.89E+28 2.41E+28 1.98E+28 1.60E+28 1.28E+28 1.00E+28 7.77E+27 5.93E+27 4.47E+27 3.32E+27 2.44E+27 1.76E+27

                    ************************************************************************************************
                    *  Z= 32 A= 70: Negative-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.162  2.91E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.229  5.83E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.280  8.74E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.324  1.17E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.362  1.46E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.396  1.75E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.428  2.24E+00 9.83E-01 4.90E+00 1.21E-01 2.81E-01 2.82E-01 1.85E-01 8.63E-02 2.97E-02 7.70E-03 1.51E-03 2.26E-04 2.58E-05 2.27E-06 1.54E-07 8.00E-09 3.22E-10 9.98E-12 2.39E-13 4.43E-15 6.36E-17 7.05E-19 6.06E-21 4.03E-23 2.07E-25 8.27E-28 2.56E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.458  3.12E+00 1.75E+00 8.73E+00 2.15E-01 5.00E-01 5.03E-01 3.29E-01 1.54E-01 5.30E-02 1.37E-02 2.69E-03 4.02E-04 4.60E-05 4.05E-06 2.74E-07 1.43E-08 5.73E-10 1.78E-11 4.26E-13 7.90E-15 1.13E-16 1.26E-18 1.08E-20 7.17E-23 3.69E-25 1.47E-27 4.56E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.486  4.57E+00 2.91E+00 1.47E+01 3.50E-01 8.19E-01 8.31E-01 5.53E-01 2.64E-01 9.35E-02 2.50E-02 5.09E-03 7.94E-04 9.54E-05 8.85E-06 6.35E-07 3.53E-08 1.52E-09 5.08E-11 1.32E-12 2.67E-14 4.19E-16 5.12E-18 4.86E-20 3.60E-22 2.07E-24 9.31E-27 3.26E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.512  6.84E+00 4.53E+00 2.39E+01 4.95E-01 1.19E+00 1.26E+00 8.99E-01 4.70E-01 1.87E-01 5.73E-02 1.37E-02 2.57E-03 3.79E-04 4.42E-05 4.08E-06 2.98E-07 1.73E-08 7.99E-10 2.93E-11 8.53E-13 1.98E-14 3.65E-16 5.37E-18 6.28E-20 5.86E-22 4.35E-24 2.58E-26 1.22E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.537  1.03E+01 6.91E+00 3.82E+01 6.93E-01 1.69E+00 1.87E+00 1.41E+00 7.96E-01 3.48E-01 1.20E-01 3.26E-02 7.13E-03 1.25E-03 1.76E-04 2.01E-05 1.84E-06 1.37E-07 8.25E-09 4.02E-10 1.59E-11 5.10E-13 1.33E-14 2.80E-16 4.79E-18 6.67E-20 7.53E-22 6.92E-24 5.16E-26 3.13E-28 1.54E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.561  1.55E+01 1.03E+01 5.95E+01 9.58E-01 2.38E+00 2.71E+00 2.15E+00 1.29E+00 6.12E-01 2.31E-01 7.08E-02 1.76E-02 3.56E-03 5.90E-04 8.01E-05 8.93E-06 8.18E-07 6.17E-08 3.83E-09 1.96E-10 8.24E-12 2.86E-13 8.19E-15 1.93E-16 3.77E-18 6.07E-20 8.06E-22 8.84E-24 8.01E-26 5.99E-28 3.70E-30 1.00E-30 1.00E-30
   3.25  0.584  2.31E+01 1.52E+01 9.08E+01 1.31E+00 3.29E+00 3.86E+00 3.19E+00 2.03E+00 1.03E+00 4.22E-01 1.42E-01 3.94E-02 9.02E-03 1.72E-03 2.71E-04 3.56E-05 3.90E-06 3.57E-07 2.72E-08 1.73E-09 9.21E-11 4.10E-12 1.52E-13 4.74E-15 1.23E-16 2.68E-18 4.89E-20 7.45E-22 9.52E-24 1.02E-25 9.11E-28 6.83E-30 1.00E-30
   3.50  0.606  3.41E+01 2.20E+01 1.36E+02 1.77E+00 4.50E+00 5.40E+00 4.62E+00 3.08E+00 1.66E+00 7.32E-01 2.68E-01 8.16E-02 2.08E-02 4.46E-03 8.02E-04 1.22E-04 1.56E-05 1.68E-06 1.53E-07 1.18E-08 7.67E-10 4.22E-11 1.97E-12 7.77E-14 2.59E-15 7.33E-17 1.76E-18 3.56E-20 6.12E-22 8.92E-24 1.10E-25 1.15E-27 1.02E-29
   3.75  0.627  4.97E+01 3.14E+01 2.01E+02 2.37E+00 6.09E+00 7.46E+00 6.59E+00 4.58E+00 2.59E+00 1.22E+00 4.79E-01 1.59E-01 4.45E-02 1.06E-02 2.13E-03 3.66E-04 5.35E-05 6.68E-06 7.11E-07 6.47E-08 5.03E-09 3.34E-10 1.89E-11 9.20E-13 3.82E-14 1.36E-15 4.13E-17 1.07E-18 2.39E-20 4.56E-22 7.45E-24 1.04E-25 1.25E-27
   4.00  0.647  7.18E+01 4.42E+01 2.91E+02 3.14E+00 8.15E+00 1.02E+01 9.23E+00 6.65E+00 3.95E+00 1.96E+00 8.21E-01 2.93E-01 8.90E-02 2.32E-02 5.17E-03 9.91E-04 1.63E-04 2.32E-05 2.83E-06 2.98E-07 2.70E-08 2.11E-09 1.43E-10 8.33E-12 4.19E-13 1.82E-14 6.83E-16 2.21E-17 6.20E-19 1.50E-20 3.14E-22 5.67E-24 8.86E-26
   4.25  0.667  1.03E+02 6.15E+01 4.17E+02 4.13E+00 1.08E+01 1.37E+01 1.27E+01 9.49E+00 5.86E+00 3.05E+00 1.36E+00 5.15E-01 1.69E-01 4.76E-02 1.16E-02 2.45E-03 4.50E-04 7.14E-05 9.86E-06 1.18E-06 1.23E-07 1.11E-08 8.79E-10 6.03E-11 3.60E-12 1.87E-13 8.45E-15 3.33E-16 1.14E-17 3.41E-19 8.89E-21 2.02E-22 3.98E-24
   4.50  0.687  1.45E+02 8.48E+01 5.91E+02 5.39E+00 1.42E+01 1.83E+01 1.74E+01 1.33E+01 8.53E+00 4.64E+00 2.17E+00 8.74E-01 3.05E-01 9.26E-02 2.45E-02 5.64E-03 1.14E-03 2.00E-04 3.07E-05 4.14E-06 4.88E-07 5.03E-08 4.55E-09 3.61E-10 2.51E-11 1.53E-12 8.17E-14 3.83E-15 1.58E-16 5.69E-18 1.80E-19 5.01E-21 1.22E-22
   4.75  0.705  2.03E+02 1.16E+02 8.28E+02 6.99E+00 1.85E+01 2.42E+01 2.34E+01 1.84E+01 1.22E+01 6.90E+00 3.37E+00 1.43E+00 5.31E-01 1.72E-01 4.88E-02 1.22E-02 2.67E-03 5.14E-04 8.72E-05 1.30E-05 1.72E-06 1.99E-07 2.04E-08 1.84E-09 1.47E-10 1.03E-11 6.42E-13 3.52E-14 1.70E-15 7.28E-17 2.75E-18 9.18E-20 2.70E-21
   5.00  0.724  2.81E+02 1.56E+02 1.15E+03 9.00E+00 2.40E+01 3.17E+01 3.13E+01 2.52E+01 1.72E+01 1.01E+01 5.13E+00 2.28E+00 8.92E-01 3.06E-01 9.28E-02 2.48E-02 5.87E-03 1.23E-03 2.28E-04 3.74E-05 5.45E-06 7.03E-07 8.06E-08 8.19E-09 7.39E-10 5.92E-11 4.21E-12 2.66E-13 1.49E-14 7.43E-16 3.29E-17 1.30E-18 4.53E-20
   5.50  0.759  5.60E+02 2.79E+02 2.14E+03 1.47E+01 3.96E+01 5.33E+01 5.42E+01 4.55E+01 3.27E+01 2.04E+01 1.11E+01 5.38E+00 2.31E+00 8.78E-01 2.98E-01 9.01E-02 2.43E-02 5.88E-03 1.27E-03 2.46E-04 4.26E-05 6.61E-06 9.20E-07 1.15E-07 1.28E-08 1.29E-09 1.16E-10 9.37E-12 6.79E-13 4.42E-14 2.58E-15 1.35E-16 6.36E-18
   6.00  0.793  1.05E+03 4.85E+02 3.88E+03 2.35E+01 6.38E+01 8.75E+01 9.13E+01 7.93E+01 5.94E+01 3.90E+01 2.27E+01 1.17E+01 5.42E+00 2.25E+00 8.39E-01 2.81E-01 8.50E-02 2.32E-02 5.69E-03 1.26E-03 2.53E-04 4.59E-05 7.52E-06 1.11E-06 1.49E-07 1.81E-08 1.98E-09 1.97E-10 1.77E-11 1.44E-12 1.06E-13 7.07E-15 4.27E-16
   6.50  0.825  1.87E+03 8.22E+02 6.84E+03 3.68E+01 1.01E+02 1.40E+02 1.50E+02 1.34E+02 1.04E+02 7.13E+01 4.36E+01 2.39E+01 1.18E+01 5.28E+00 2.13E+00 7.81E-01 2.59E-01 7.83E-02 2.15E-02 5.36E-03 1.22E-03 2.52E-04 4.73E-05 8.12E-06 1.27E-06 1.80E-07 2.34E-08 2.77E-09 2.99E-10 2.94E-11 2.64E-12 2.16E-13 1.61E-14
   7.00  0.856  3.23E+03 1.36E+03 1.18E+04 5.69E+01 1.57E+02 2.21E+02 2.40E+02 2.20E+02 1.76E+02 1.26E+02 8.04E+01 4.64E+01 2.42E+01 1.15E+01 4.99E+00 1.97E+00 7.11E-01 2.34E-01 7.06E-02 1.95E-02 4.92E-03 1.14E-03 2.42E-04 4.70E-05 8.38E-06 1.37E-06 2.06E-07 2.83E-08 3.57E-09 4.14E-10 4.40E-11 4.29E-12 3.85E-13
   7.50  0.886  5.45E+03 2.22E+03 1.98E+04 8.66E+01 2.40E+02 3.42E+02 3.78E+02 3.54E+02 2.92E+02 2.15E+02 1.43E+02 8.60E+01 4.72E+01 2.37E+01 1.09E+01 4.60E+00 1.78E+00 6.34E-01 2.07E-01 6.25E-02 1.73E-02 4.43E-03 1.04E-03 2.26E-04 4.52E-05 8.34E-06 1.42E-06 2.23E-07 3.22E-08 4.31E-09 5.31E-10 6.04E-11 6.34E-12
   8.00  0.915  8.99E+03 3.55E+03 3.26E+04 1.30E+02 3.62E+02 5.21E+02 5.84E+02 5.58E+02 4.71E+02 3.57E+02 2.45E+02 1.54E+02 8.81E+01 4.64E+01 2.25E+01 1.01E+01 4.14E+00 1.58E+00 5.55E-01 1.81E-01 5.43E-02 1.51E-02 3.90E-03 9.33E-04 2.06E-04 4.23E-05 8.04E-06 1.42E-06 2.31E-07 3.50E-08 4.91E-09 6.40E-10 7.72E-11
   8.50  0.944  1.46E+04 5.58E+03 5.29E+04 1.93E+02 5.41E+02 7.83E+02 8.90E+02 8.65E+02 7.46E+02 5.80E+02 4.10E+02 2.66E+02 1.58E+02 8.71E+01 4.43E+01 2.08E+01 9.07E+00 3.66E+00 1.37E+00 4.78E-01 1.55E-01 4.66E-02 1.30E-02 3.39E-03 8.19E-04 1.84E-04 3.87E-05 7.54E-06 1.37E-06 2.32E-07 3.65E-08 5.35E-09 7.30E-10
   9.00  0.971  2.32E+04 8.67E+03 8.45E+04 2.84E+02 7.97E+02 1.16E+03 1.34E+03 1.32E+03 1.16E+03 9.22E+02 6.70E+02 4.48E+02 2.76E+02 1.58E+02 8.35E+01 4.11E+01 1.88E+01 8.01E+00 3.18E+00 1.18E+00 4.06E-01 1.31E-01 3.93E-02 1.10E-02 2.89E-03 7.08E-04 1.62E-04 3.46E-05 6.90E-06 1.29E-06 2.25E-07 3.67E-08 5.59E-09
   9.50  0.998  3.65E+04 1.33E+04 1.33E+05 4.13E+02 1.16E+03 1.71E+03 1.98E+03 1.99E+03 1.77E+03 1.44E+03 1.07E+03 7.36E+02 4.68E+02 2.77E+02 1.52E+02 7.79E+01 3.73E+01 1.67E+01 6.96E+00 2.72E+00 9.95E-01 3.40E-01 1.09E-01 3.28E-02 9.23E-03 2.43E-03 6.02E-04 1.40E-04 3.03E-05 6.19E-06 1.18E-06 2.12E-07 3.57E-08
  10.00  1.024  5.66E+04 2.01E+04 2.07E+05 5.95E+02 1.68E+03 2.49E+03 2.91E+03 2.95E+03 2.68E+03 2.21E+03 1.68E+03 1.18E+03 7.74E+02 4.72E+02 2.68E+02 1.43E+02 7.10E+01 3.31E+01 1.45E+01 5.95E+00 2.29E+00 8.29E-01 2.82E-01 9.00E-02 2.70E-02 7.63E-03 2.02E-03 5.05E-04 1.19E-04 2.62E-05 5.44E-06 1.06E-06 1.96E-07
  11.00  1.074  1.46E+05 4.47E+04 4.81E+05 1.20E+03 3.42E+03 5.12E+03 6.09E+03 6.30E+03 5.87E+03 5.01E+03 3.96E+03 2.90E+03 1.99E+03 1.28E+03 7.72E+02 4.38E+02 2.33E+02 1.17E+02 5.56E+01 2.48E+01 1.05E+01 4.17E+00 1.57E+00 5.57E-01 1.87E-01 5.93E-02 1.78E-02 5.04E-03 1.35E-03 3.43E-04 8.22E-05 1.87E-05 4.01E-06
  12.00  1.121  3.39E+05 9.65E+04 1.07E+06 2.43E+03 6.93E+03 1.04E+04 1.26E+04 1.32E+04 1.25E+04 1.09E+04 8.82E+03 6.66E+03 4.72E+03 3.14E+03 1.97E+03 1.17E+03 6.52E+02 3.44E+02 1.72E+02 8.14E+01 3.65E+01 1.55E+01 6.23E+00 2.38E+00 8.60E-01 2.95E-01 9.61E-02 2.97E-02 8.70E-03 2.42E-03 6.40E-04 1.60E-04 3.82E-05
  13.00  1.167  7.46E+05 2.04E+05 2.32E+06 4.91E+03 1.40E+04 2.12E+04 2.57E+04 2.72E+04 2.61E+04 2.30E+04 1.89E+04 1.45E+04 1.05E+04 7.14E+03 4.59E+03 2.78E+03 1.60E+03 8.71E+02 4.49E+02 2.20E+02 1.02E+02 4.51E+01 1.89E+01 7.52E+00 2.85E+00 1.02E+00 3.50E-01 1.14E-01 3.52E-02 1.04E-02 2.90E-03 7.71E-04 1.95E-04
  14.00  1.211  1.58E+06 4.17E+05 4.83E+06 9.67E+03 2.77E+04 4.20E+04 5.11E+04 5.46E+04 5.28E+04 4.72E+04 3.92E+04 3.06E+04 2.25E+04 1.56E+04 1.02E+04 6.34E+03 3.73E+03 2.09E+03 1.11E+03 5.59E+02 2.68E+02 1.22E+02 5.31E+01 2.20E+01 8.64E+00 3.24E+00 1.16E+00 3.93E-01 1.28E-01 3.94E-02 1.16E-02 3.25E-03 8.70E-04
  15.00  1.254  3.24E+06 8.31E+05 9.81E+06 1.86E+04 5.33E+04 8.12E+04 9.93E+04 1.07E+05 1.04E+05 9.39E+04 7.91E+04 6.25E+04 4.66E+04 3.28E+04 2.19E+04 1.39E+04 8.35E+03 4.78E+03 2.60E+03 1.35E+03 6.65E+02 3.13E+02 1.40E+02 5.99E+01 2.44E+01 9.49E+00 3.52E+00 1.25E+00 4.21E-01 1.36E-01 4.18E-02 1.23E-02 3.45E-03
  16.00  1.295  6.47E+06 1.62E+06 1.94E+07 3.50E+04 1.01E+05 1.54E+05 1.89E+05 2.04E+05 2.00E+05 1.82E+05 1.55E+05 1.24E+05 9.38E+04 6.71E+04 4.55E+04 2.94E+04 1.80E+04 1.05E+04 5.86E+03 3.11E+03 1.57E+03 7.60E+02 3.50E+02 1.54E+02 6.49E+01 2.61E+01 1.00E+01 3.67E+00 1.29E+00 4.32E-01 1.38E-01 4.24E-02 1.24E-02
  17.00  1.335  1.26E+07 3.08E+06 3.76E+07 6.46E+04 1.86E+05 2.85E+05 3.51E+05 3.82E+05 3.78E+05 3.47E+05 2.98E+05 2.41E+05 1.84E+05 1.33E+05 9.19E+04 6.02E+04 3.76E+04 2.24E+04 1.27E+04 6.89E+03 3.57E+03 1.77E+03 8.35E+02 3.78E+02 1.63E+02 6.76E+01 2.68E+01 1.02E+01 3.68E+00 1.28E+00 4.25E-01 1.35E-01 4.12E-02
  18.00  1.373  2.42E+07 5.76E+06 7.14E+07 1.17E+05 3.38E+05 5.19E+05 6.42E+05 7.01E+05 6.98E+05 6.46E+05 5.59E+05 4.57E+05 3.53E+05 2.59E+05 1.81E+05 1.20E+05 7.63E+04 4.62E+04 2.67E+04 1.48E+04 7.81E+03 3.95E+03 1.91E+03 8.87E+02 3.94E+02 1.67E+02 6.81E+01 2.66E+01 9.94E+00 3.56E+00 1.22E+00 4.03E-01 1.27E-01
  19.00  1.411  4.53E+07 1.06E+07 1.33E+08 2.10E+05 6.04E+05 9.30E+05 1.16E+06 1.27E+06 1.27E+06 1.18E+06 1.03E+06 8.50E+05 6.64E+05 4.92E+05 3.48E+05 2.35E+05 1.51E+05 9.28E+04 5.46E+04 3.07E+04 1.66E+04 8.55E+03 4.23E+03 2.00E+03 9.10E+02 3.97E+02 1.66E+02 6.64E+01 2.55E+01 9.43E+00 3.34E+00 1.13E+00 3.70E-01
  20.00  1.448  8.36E+07 1.91E+07 2.43E+08 3.69E+05 1.07E+06 1.64E+06 2.05E+06 2.25E+06 2.27E+06 2.12E+06 1.87E+06 1.55E+06 1.22E+06 9.18E+05 6.56E+05 4.47E+05 2.92E+05 1.82E+05 1.09E+05 6.22E+04 3.41E+04 1.79E+04 9.05E+03 4.38E+03 2.03E+03 9.06E+02 3.88E+02 1.59E+02 6.28E+01 2.38E+01 8.66E+00 3.03E+00 1.02E+00
  22.50  1.535  4.78E+08 7.89E+07 1.03E+09 1.44E+06 4.15E+06 6.43E+06 8.07E+06 8.96E+06 9.12E+06 8.66E+06 7.74E+06 6.54E+06 5.26E+06 4.04E+06 2.96E+06 2.07E+06 1.39E+06 8.96E+05 5.53E+05 3.28E+05 1.87E+05 1.02E+05 5.39E+04 2.73E+04 1.33E+04 6.21E+03 2.80E+03 1.21E+03 5.07E+02 2.03E+02 7.87E+01 2.93E+01 1.05E+01
  25.00  1.618  1.99E+09 3.01E+08 4.06E+09 5.20E+06 1.51E+07 2.34E+07 2.96E+07 3.31E+07 3.40E+07 3.27E+07 2.96E+07 2.54E+07 2.08E+07 1.62E+07 1.21E+07 8.70E+06 5.99E+06 3.96E+06 2.52E+06 1.54E+06 9.04E+05 5.12E+05 2.79E+05 1.47E+05 7.43E+04 3.63E+04 1.71E+04 7.74E+03 3.39E+03 1.43E+03 5.81E+02 2.28E+02 8.64E+01
  30.00  1.773  3.86E+10 3.66E+09 5.16E+10 5.77E+07 1.68E+08 2.62E+08 3.34E+08 3.79E+08 3.95E+08 3.86E+08 3.57E+08 3.14E+08 2.64E+08 2.12E+08 1.64E+08 1.22E+08 8.74E+07 6.03E+07 4.01E+07 2.57E+07 1.59E+07 9.51E+06 5.49E+06 3.07E+06 1.65E+06 8.62E+05 4.35E+05 2.12E+05 1.00E+05 4.56E+04 2.01E+04 8.60E+03 3.55E+03
  40.00  2.047  6.35E+12 3.16E+11 4.77E+12 4.32E+09 1.26E+10 1.99E+10 2.56E+10 2.95E+10 3.15E+10 3.15E+10 3.00E+10 2.73E+10 2.38E+10 2.00E+10 1.62E+10 1.27E+10 9.58E+09 7.01E+09 4.96E+09 3.40E+09 2.26E+09 1.46E+09 9.13E+08 5.54E+08 3.27E+08 1.87E+08 1.04E+08 5.60E+07 2.93E+07 1.49E+07 7.38E+06 3.55E+06 1.66E+06
  50.00  2.289  3.37E+14 1.65E+13 2.64E+14 2.03E+11 5.94E+11 9.42E+11 1.23E+12 1.43E+12 1.54E+12 1.57E+12 1.53E+12 1.42E+12 1.27E+12 1.10E+12 9.20E+11 7.45E+11 5.84E+11 4.45E+11 3.29E+11 2.36E+11 1.65E+11 1.12E+11 7.39E+10 4.75E+10 2.97E+10 1.81E+10 1.08E+10 6.21E+09 3.50E+09 1.92E+09 1.02E+09 5.33E+08 2.70E+08
  60.00  2.507  1.25E+16 6.10E+14 1.02E+16 6.84E+12 2.01E+13 3.20E+13 4.18E+13 4.92E+13 5.37E+13 5.55E+13 5.47E+13 5.18E+13 4.73E+13 4.17E+13 3.57E+13 2.96E+13 2.39E+13 1.87E+13 1.43E+13 1.06E+13 7.69E+12 5.42E+12 3.73E+12 2.50E+12 1.64E+12 1.04E+12 6.50E+11 3.95E+11 2.35E+11 1.36E+11 7.69E+10 4.25E+10 2.29E+10
  70.00  2.708  3.57E+17 1.72E+16 2.99E+17 1.79E+14 5.25E+14 8.40E+14 1.10E+15 1.31E+15 1.44E+15 1.50E+15 1.50E+15 1.44E+15 1.33E+15 1.19E+15 1.04E+15 8.81E+14 7.26E+14 5.82E+14 4.55E+14 3.47E+14 2.59E+14 1.88E+14 1.33E+14 9.25E+13 6.26E+13 4.14E+13 2.68E+13 1.70E+13 1.05E+13 6.34E+12 3.75E+12 2.17E+12 1.23E+12
  80.00  2.895  8.20E+18 3.92E+17 7.03E+18 3.81E+15 1.12E+16 1.80E+16 2.37E+16 2.82E+16 3.13E+16 3.29E+16 3.31E+16 3.21E+16 3.01E+16 2.74E+16 2.42E+16 2.08E+16 1.75E+16 1.43E+16 1.14E+16 8.88E+15 6.76E+15 5.03E+15 3.66E+15 2.61E+15 1.82E+15 1.24E+15 8.26E+14 5.39E+14 3.45E+14 2.16E+14 1.32E+14 7.95E+13 4.67E+13
  90.00  3.071  1.58E+20 7.48E+18 1.38E+20 6.86E+16 2.02E+17 3.25E+17 4.30E+17 5.14E+17 5.73E+17 6.06E+17 6.15E+17 6.02E+17 5.70E+17 5.24E+17 4.69E+17 4.09E+17 3.48E+17 2.89E+17 2.34E+17 1.86E+17 1.44E+17 1.09E+17 8.13E+16 5.92E+16 4.22E+16 2.95E+16 2.02E+16 1.35E+16 8.89E+15 5.73E+15 3.62E+15 2.24E+15 1.36E+15
 100.00  3.237  2.62E+21 1.23E+20 2.33E+21 1.07E+18 3.15E+18 5.08E+18 6.75E+18 8.09E+18 9.06E+18 9.64E+18 9.85E+18 9.71E+18 9.27E+18 8.61E+18 7.78E+18 6.86E+18 5.90E+18 4.97E+18 4.09E+18 3.29E+18 2.59E+18 2.00E+18 1.52E+18 1.12E+18 8.17E+17 5.83E+17 4.07E+17 2.79E+17 1.88E+17 1.24E+17 8.04E+16 5.11E+16 3.19E+16
 110.00  3.395  3.82E+22 1.78E+21 3.45E+22 1.48E+19 4.35E+19 7.02E+19 9.35E+19 1.12E+20 1.26E+20 1.35E+20 1.39E+20 1.38E+20 1.33E+20 1.24E+20 1.13E+20 1.01E+20 8.76E+19 7.45E+19 6.21E+19 5.06E+19 4.05E+19 3.17E+19 2.44E+19 1.84E+19 1.36E+19 9.85E+18 7.02E+18 4.91E+18 3.37E+18 2.27E+18 1.50E+18 9.78E+17 6.25E+17
