                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 2  *
 180.00  5.495  2.17E+26 9.25E+24 1.76E+26 7.99E+22 2.36E+23 3.79E+23 5.04E+23 6.05E+23 6.78E+23 7.22E+23 7.38E+23 7.29E+23 6.97E+23 6.48E+23 5.86E+23 5.18E+23 4.47E+23 3.76E+23 3.10E+23 2.50E+23 1.98E+23 1.53E+23 1.16E+23 8.64E+22 6.30E+22 4.51E+22 3.16E+22 2.17E+22 1.47E+22 9.73E+21 6.33E+21 4.04E+21 2.53E+21
 190.00  5.645  1.41E+27 5.97E+25 1.15E+27 5.01E+23 1.48E+24 2.38E+24 3.17E+24 3.81E+24 4.28E+24 4.58E+24 4.69E+24 4.65E+24 4.46E+24 4.17E+24 3.79E+24 3.37E+24 2.92E+24 2.48E+24 2.06E+24 1.67E+24 1.33E+24 1.04E+24 7.97E+23 5.98E+23 4.40E+23 3.18E+23 2.26E+23 1.57E+23 1.07E+23 7.19E+22 4.74E+22 3.06E+22 1.95E+22
 200.00  5.792  8.75E+27 3.67E+26 7.17E+27 3.00E+24 8.87E+24 1.43E+25 1.91E+25 2.29E+25 2.58E+25 2.77E+25 2.85E+25 2.83E+25 2.73E+25 2.56E+25 2.34E+25 2.09E+25 1.82E+25 1.56E+25 1.30E+25 1.06E+25 8.54E+24 6.72E+24 5.18E+24 3.92E+24 2.92E+24 2.13E+24 1.52E+24 1.07E+24 7.40E+23 5.02E+23 3.34E+23 2.19E+23 1.41E+23

                    ************************************************************************************************
                    *  Z= 26 A= 56: Negative-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.205  1.25E-01 2.51E-01 1.51E+00 2.13E-02 5.38E-02 6.33E-02 5.26E-02 3.38E-02 1.73E-02 7.21E-03 2.46E-03 6.96E-04 1.63E-04 3.16E-05 5.12E-06 6.92E-07 7.81E-08 7.36E-09 5.81E-10 3.83E-11 2.12E-12 9.82E-14 3.81E-15 1.24E-16 3.38E-18 7.74E-20 1.49E-21 2.39E-23 3.23E-25 3.66E-27 3.49E-29 1.00E-30 1.00E-30
   0.50  0.290  2.58E-01 2.65E-01 1.59E+00 2.25E-02 5.67E-02 6.68E-02 5.55E-02 3.56E-02 1.83E-02 7.61E-03 2.60E-03 7.34E-04 1.72E-04 3.34E-05 5.41E-06 7.30E-07 8.24E-08 7.77E-09 6.13E-10 4.05E-11 2.24E-12 1.04E-13 4.02E-15 1.31E-16 3.57E-18 8.16E-20 1.57E-21 2.52E-23 3.41E-25 3.87E-27 3.68E-29 1.00E-30 1.00E-30
   0.75  0.355  4.48E-01 3.81E-01 2.29E+00 3.24E-02 8.17E-02 9.62E-02 7.99E-02 5.13E-02 2.63E-02 1.10E-02 3.74E-03 1.06E-03 2.47E-04 4.81E-05 7.79E-06 1.05E-06 1.19E-07 1.12E-08 8.82E-10 5.83E-11 3.22E-12 1.49E-13 5.79E-15 1.88E-16 5.14E-18 1.18E-19 2.26E-21 3.63E-23 4.91E-25 5.57E-27 5.30E-29 1.00E-30 1.00E-30
   1.00  0.410  7.15E-01 5.33E-01 3.21E+00 4.54E-02 1.14E-01 1.35E-01 1.12E-01 7.18E-02 3.68E-02 1.53E-02 5.24E-03 1.48E-03 3.46E-04 6.73E-05 1.09E-05 1.47E-06 1.66E-07 1.57E-08 1.24E-09 8.16E-11 4.51E-12 2.09E-13 8.11E-15 2.64E-16 7.20E-18 1.65E-19 3.16E-21 5.09E-23 6.87E-25 7.79E-27 7.42E-29 1.00E-30 1.00E-30
   1.25  0.458  1.08E+00 7.24E-01 4.36E+00 6.16E-02 1.55E-01 1.83E-01 1.52E-01 9.75E-02 5.00E-02 2.08E-02 7.12E-03 2.01E-03 4.70E-04 9.14E-05 1.48E-05 2.00E-06 2.26E-07 2.13E-08 1.68E-09 1.11E-10 6.12E-12 2.84E-13 1.10E-14 3.58E-16 9.77E-18 2.24E-19 4.29E-21 6.91E-23 9.34E-25 1.06E-26 1.01E-28 1.00E-30 1.00E-30
   1.50  0.502  1.56E+00 9.70E-01 5.83E+00 8.24E-02 2.08E-01 2.45E-01 2.03E-01 1.31E-01 6.69E-02 2.79E-02 9.53E-03 2.69E-03 6.29E-04 1.22E-04 1.98E-05 2.68E-06 3.02E-07 2.85E-08 2.25E-09 1.48E-10 8.20E-12 3.80E-13 1.47E-14 4.79E-16 1.31E-17 2.99E-19 5.74E-21 9.25E-23 1.25E-24 1.42E-26 1.35E-28 1.08E-30 1.00E-30
   1.75  0.542  2.21E+00 1.29E+00 7.75E+00 1.10E-01 2.76E-01 3.25E-01 2.70E-01 1.73E-01 8.89E-02 3.70E-02 1.27E-02 3.57E-03 8.36E-04 1.63E-04 2.63E-05 3.56E-06 4.01E-07 3.78E-08 2.98E-09 1.97E-10 1.09E-11 5.04E-13 1.96E-14 6.37E-16 1.74E-17 3.98E-19 7.63E-21 1.23E-22 1.66E-24 1.88E-26 1.79E-28 1.43E-30 1.00E-30
   2.00  0.579  3.06E+00 1.70E+00 1.02E+01 1.45E-01 3.65E-01 4.29E-01 3.57E-01 2.29E-01 1.17E-01 4.89E-02 1.67E-02 4.72E-03 1.10E-03 2.15E-04 3.48E-05 4.70E-06 5.30E-07 5.00E-08 3.94E-09 2.60E-10 1.44E-11 6.66E-13 2.59E-14 8.41E-16 2.29E-17 5.25E-19 1.01E-20 1.62E-22 2.19E-24 2.49E-26 2.37E-28 1.89E-30 1.00E-30
   2.25  0.614  4.17E+00 2.23E+00 1.34E+01 1.90E-01 4.79E-01 5.64E-01 4.69E-01 3.01E-01 1.54E-01 6.43E-02 2.20E-02 6.20E-03 1.45E-03 2.82E-04 4.57E-05 6.17E-06 6.96E-07 6.56E-08 5.18E-09 3.42E-10 1.89E-11 8.75E-13 3.40E-14 1.10E-15 3.01E-17 6.90E-19 1.32E-20 2.13E-22 2.88E-24 3.27E-26 3.11E-28 2.48E-30 1.00E-30
   2.50  0.648  5.63E+00 2.92E+00 1.76E+01 2.48E-01 6.26E-01 7.37E-01 6.13E-01 3.93E-01 2.02E-01 8.40E-02 2.87E-02 8.10E-03 1.90E-03 3.68E-04 5.97E-05 8.06E-06 9.09E-07 8.57E-08 6.76E-09 4.47E-10 2.47E-11 1.14E-12 4.44E-14 1.44E-15 3.94E-17 9.01E-19 1.73E-20 2.79E-22 3.76E-24 4.27E-26 4.06E-28 3.24E-30 1.00E-30
   2.75  0.679  7.53E+00 3.80E+00 2.28E+01 3.23E-01 8.14E-01 9.58E-01 7.96E-01 5.11E-01 2.62E-01 1.09E-01 3.73E-02 1.05E-02 2.46E-03 4.79E-04 7.76E-05 1.05E-05 1.18E-06 1.11E-07 8.79E-09 5.80E-10 3.21E-11 1.49E-12 5.77E-14 1.88E-15 5.12E-17 1.17E-18 2.25E-20 3.62E-22 4.89E-24 5.55E-26 5.28E-28 4.22E-30 1.00E-30
   3.00  0.709  9.99E+00 4.91E+00 2.95E+01 4.17E-01 1.05E+00 1.24E+00 1.03E+00 6.61E-01 3.39E-01 1.41E-01 4.82E-02 1.36E-02 3.19E-03 6.19E-04 1.00E-04 1.35E-05 1.53E-06 1.44E-07 1.14E-08 7.50E-10 4.15E-11 1.92E-12 7.46E-14 2.43E-15 6.62E-17 1.51E-18 2.91E-20 4.68E-22 6.32E-24 7.17E-26 6.82E-28 5.45E-30 1.00E-30
   3.25  0.738  1.31E+01 6.31E+00 3.80E+01 5.37E-01 1.35E+00 1.59E+00 1.32E+00 8.50E-01 4.36E-01 1.82E-01 6.21E-02 1.75E-02 4.10E-03 7.97E-04 1.29E-04 1.74E-05 1.97E-06 1.85E-07 1.46E-08 9.66E-10 5.34E-11 2.47E-12 9.60E-14 3.12E-15 8.52E-17 1.95E-18 3.74E-20 6.02E-22 8.14E-24 9.23E-26 8.78E-28 7.01E-30 1.00E-30
   3.50  0.766  1.71E+01 7.99E+00 4.86E+01 6.63E-01 1.68E+00 1.99E+00 1.68E+00 1.09E+00 5.73E-01 2.45E-01 8.61E-02 2.51E-02 6.10E-03 1.24E-03 2.10E-04 2.98E-05 3.54E-06 3.54E-07 2.97E-08 2.10E-09 1.24E-10 6.20E-12 2.60E-13 9.21E-15 2.74E-16 6.87E-18 1.45E-19 2.58E-21 3.86E-23 4.88E-25 5.19E-27 4.66E-29 1.00E-30
   3.75  0.793  2.21E+01 9.98E+00 6.20E+01 7.97E-01 2.03E+00 2.44E+00 2.10E+00 1.41E+00 7.61E-01 3.38E-01 1.25E-01 3.83E-02 9.88E-03 2.14E-03 3.90E-04 5.99E-05 7.77E-06 8.52E-07 7.90E-08 6.20E-09 4.11E-10 2.31E-11 1.10E-12 4.44E-14 1.52E-15 4.40E-17 1.08E-18 2.26E-20 3.99E-22 5.98E-24 7.61E-26 8.22E-28 7.53E-30
   4.00  0.819  2.83E+01 1.24E+01 7.87E+01 9.56E-01 2.45E+00 2.99E+00 2.61E+00 1.79E+00 1.00E+00 4.61E-01 1.77E-01 5.73E-02 1.56E-02 3.59E-03 7.00E-04 1.16E-04 1.63E-05 1.94E-06 1.98E-07 1.71E-08 1.26E-09 7.90E-11 4.22E-12 1.93E-13 7.49E-15 2.48E-16 7.03E-18 1.70E-19 3.50E-21 6.15E-23 9.23E-25 1.18E-26 1.29E-28
   4.25  0.844  3.61E+01 1.54E+01 9.95E+01 1.14E+00 2.95E+00 3.64E+00 3.23E+00 2.27E+00 1.30E+00 6.22E-01 2.49E-01 8.42E-02 2.41E-02 5.88E-03 1.22E-03 2.16E-04 3.27E-05 4.22E-06 4.67E-07 4.43E-08 3.59E-09 2.50E-10 1.49E-11 7.60E-13 3.33E-14 1.25E-15 4.03E-17 1.12E-18 2.65E-20 5.40E-22 9.45E-24 1.42E-25 1.83E-27
   4.50  0.869  4.56E+01 1.91E+01 1.25E+02 1.37E+00 3.55E+00 4.41E+00 3.99E+00 2.86E+00 1.69E+00 8.30E-01 3.45E-01 1.22E-01 3.65E-02 9.39E-03 2.06E-03 3.90E-04 6.31E-05 8.79E-06 1.05E-06 1.08E-07 9.62E-09 7.36E-10 4.85E-11 2.75E-12 1.35E-13 5.69E-15 2.07E-16 6.50E-18 1.76E-19 4.12E-21 8.31E-23 1.45E-24 2.18E-26
   4.75  0.893  5.74E+01 2.35E+01 1.57E+02 1.63E+00 4.25E+00 5.34E+00 4.90E+00 3.58E+00 2.16E+00 1.10E+00 4.72E-01 1.73E-01 5.44E-02 1.47E-02 3.41E-03 6.82E-04 1.18E-04 1.76E-05 2.27E-06 2.53E-07 2.44E-08 2.04E-09 1.47E-10 9.23E-12 5.01E-13 2.36E-14 9.61E-16 3.40E-17 1.04E-18 2.77E-20 6.38E-22 1.27E-23 2.21E-25
   5.00  0.916  7.19E+01 2.90E+01 1.97E+02 1.94E+00 5.08E+00 6.45E+00 6.00E+00 4.47E+00 2.76E+00 1.44E+00 6.39E-01 2.43E-01 7.96E-02 2.25E-02 5.50E-03 1.16E-03 2.13E-04 3.39E-05 4.69E-06 5.62E-07 5.87E-08 5.33E-09 4.20E-10 2.89E-11 1.73E-12 8.99E-14 4.08E-15 1.61E-16 5.53E-18 1.66E-19 4.32E-21 9.83E-23 1.95E-24
   5.50  0.960  1.15E+02 4.34E+01 3.04E+02 2.74E+00 7.23E+00 9.32E+00 8.89E+00 6.85E+00 4.41E+00 2.42E+00 1.14E+00 4.63E-01 1.64E-01 5.02E-02 1.35E-02 3.15E-03 6.43E-04 1.15E-04 1.80E-05 2.47E-06 2.97E-07 3.14E-08 2.90E-09 2.36E-10 1.68E-11 1.05E-12 5.77E-14 2.79E-15 1.18E-16 4.39E-18 1.44E-19 4.13E-21 1.04E-22
   6.00  1.003  1.80E+02 6.45E+01 4.66E+02 3.83E+00 1.02E+01 1.33E+01 1.30E+01 1.03E+01 6.90E+00 3.96E+00 1.96E+00 8.47E-01 3.20E-01 1.06E-01 3.07E-02 7.85E-03 1.77E-03 3.50E-04 6.13E-05 9.46E-06 1.29E-06 1.56E-07 1.66E-08 1.56E-09 1.30E-10 9.56E-12 6.22E-13 3.59E-14 1.83E-15 8.25E-17 3.29E-18 1.16E-19 3.64E-21
   6.50  1.044  2.75E+02 9.49E+01 7.05E+02 5.34E+00 1.43E+01 1.90E+01 1.88E+01 1.54E+01 1.06E+01 6.33E+00 3.28E+00 1.49E+00 5.98E-01 2.11E-01 6.60E-02 1.83E-02 4.48E-03 9.74E-04 1.88E-04 3.23E-05 4.92E-06 6.68E-07 8.06E-08 8.66E-09 8.28E-10 7.04E-11 5.34E-12 3.60E-13 2.17E-14 1.16E-15 5.53E-17 2.35E-18 8.91E-20
   7.00  1.084  4.13E+02 1.39E+02 1.06E+03 7.39E+00 1.99E+01 2.67E+01 2.70E+01 2.26E+01 1.61E+01 9.91E+00 5.36E+00 2.56E+00 1.08E+00 4.05E-01 1.35E-01 4.01E-02 1.06E-02 2.51E-03 5.29E-04 9.98E-05 1.68E-05 2.54E-06 3.43E-07 4.14E-08 4.48E-09 4.34E-10 3.77E-11 2.93E-12 2.04E-13 1.28E-14 7.14E-16 3.58E-17 1.61E-18
   7.50  1.122  6.14E+02 2.00E+02 1.57E+03 1.02E+01 2.75E+01 3.74E+01 3.84E+01 3.28E+01 2.39E+01 1.53E+01 8.57E+00 4.27E+00 1.89E+00 7.47E-01 2.64E-01 8.36E-02 2.37E-02 6.04E-03 1.38E-03 2.83E-04 5.23E-05 8.69E-06 1.30E-06 1.74E-07 2.11E-08 2.30E-09 2.26E-10 1.99E-11 1.59E-12 1.14E-13 7.35E-15 4.28E-16 2.24E-17
   8.00  1.158  9.02E+02 2.88E+02 2.31E+03 1.39E+01 3.79E+01 5.20E+01 5.42E+01 4.71E+01 3.53E+01 2.31E+01 1.34E+01 6.96E+00 3.22E+00 1.34E+00 4.98E-01 1.67E-01 5.04E-02 1.37E-02 3.37E-03 7.48E-04 1.50E-04 2.72E-05 4.45E-06 6.58E-07 8.82E-08 1.07E-08 1.17E-09 1.16E-10 1.04E-11 8.48E-13 6.24E-14 4.16E-15 2.51E-16
   8.50  1.194  1.31E+03 4.11E+02 3.37E+03 1.90E+01 5.19E+01 7.18E+01 7.59E+01 6.71E+01 5.14E+01 3.46E+01 2.07E+01 1.11E+01 5.35E+00 2.32E+00 9.07E-01 3.20E-01 1.02E-01 2.97E-02 7.79E-03 1.85E-03 4.00E-04 7.85E-05 1.40E-05 2.26E-06 3.32E-07 4.42E-08 5.37E-09 5.91E-10 5.93E-11 5.40E-12 4.47E-13 3.37E-14 2.31E-15
   9.00  1.229  1.90E+03 5.83E+02 4.88E+03 2.58E+01 7.08E+01 9.86E+01 1.06E+02 9.48E+01 7.40E+01 5.11E+01 3.15E+01 1.74E+01 8.70E+00 3.92E+00 1.60E+00 5.95E-01 2.00E-01 6.14E-02 1.71E-02 4.35E-03 1.00E-03 2.12E-04 4.07E-05 7.12E-06 1.14E-06 1.66E-07 2.21E-08 2.68E-09 2.97E-10 3.00E-11 2.77E-12 2.34E-13 1.80E-14
   9.50  1.262  2.72E+03 8.21E+02 7.02E+03 3.49E+01 9.60E+01 1.35E+02 1.46E+02 1.33E+02 1.06E+02 7.47E+01 4.72E+01 2.69E+01 1.39E+01 6.50E+00 2.76E+00 1.07E+00 3.79E-01 1.22E-01 3.60E-02 9.69E-03 2.39E-03 5.37E-04 1.11E-04 2.09E-05 3.60E-06 5.69E-07 8.24E-08 1.09E-08 1.33E-09 1.48E-10 1.51E-11 1.41E-12 1.21E-13
  10.00  1.295  3.87E+03 1.15E+03 1.00E+04 4.70E+01 1.30E+02 1.83E+02 2.00E+02 1.85E+02 1.50E+02 1.08E+02 6.99E+01 4.09E+01 2.18E+01 1.05E+01 4.66E+00 1.88E+00 6.94E-01 2.35E-01 7.28E-02 2.07E-02 5.40E-03 1.29E-03 2.84E-04 5.73E-05 1.06E-05 1.81E-06 2.83E-07 4.07E-08 5.39E-09 6.55E-10 7.32E-11 7.53E-12 7.12E-13
  11.00  1.358  8.31E+03 2.22E+03 2.01E+04 8.41E+01 2.34E+02 3.34E+02 3.72E+02 3.52E+02 2.94E+02 2.19E+02 1.48E+02 9.11E+01 5.11E+01 2.63E+01 1.24E+01 5.39E+00 2.16E+00 7.93E-01 2.69E-01 8.43E-02 2.44E-02 6.50E-03 1.60E-03 3.65E-04 7.68E-05 1.49E-05 2.69E-06 4.47E-07 6.87E-08 9.78E-09 1.29E-09 1.57E-10 1.76E-11
  12.00  1.419  1.68E+04 4.24E+03 3.95E+04 1.52E+02 4.25E+02 6.13E+02 6.90E+02 6.64E+02 5.65E+02 4.32E+02 3.00E+02 1.90E+02 1.11E+02 5.92E+01 2.92E+01 1.33E+01 5.59E+00 2.17E+00 7.82E-01 2.61E-01 8.06E-02 2.31E-02 6.13E-03 1.51E-03 3.45E-04 7.32E-05 1.44E-05 2.63E-06 4.47E-07 7.04E-08 1.03E-08 1.40E-09 1.77E-10
  13.00  1.477  3.27E+04 7.97E+03 7.58E+04 2.74E+02 7.67E+02 1.11E+03 1.27E+03 1.23E+03 1.06E+03 8.30E+02 5.89E+02 3.83E+02 2.29E+02 1.27E+02 6.46E+01 3.05E+01 1.34E+01 5.44E+00 2.05E+00 7.19E-01 2.35E-01 7.11E-02 2.00E-02 5.26E-03 1.28E-03 2.92E-04 6.18E-05 1.22E-05 2.23E-06 3.82E-07 6.09E-08 9.04E-09 1.25E-09
  14.00  1.532  6.22E+04 1.47E+04 1.43E+05 4.86E+02 1.36E+03 1.99E+03 2.28E+03 2.25E+03 1.97E+03 1.56E+03 1.13E+03 7.51E+02 4.61E+02 2.62E+02 1.38E+02 6.73E+01 3.06E+01 1.29E+01 5.09E+00 1.86E+00 6.37E-01 2.03E-01 6.04E-02 1.67E-02 4.34E-03 1.05E-03 2.36E-04 4.98E-05 9.81E-06 1.80E-06 3.10E-07 4.97E-08 7.45E-09
  15.00  1.586  1.16E+05 2.68E+04 2.65E+05 8.51E+02 2.39E+03 3.51E+03 4.05E+03 4.03E+03 3.58E+03 2.88E+03 2.12E+03 1.44E+03 9.03E+02 5.25E+02 2.84E+02 1.43E+02 6.71E+01 2.94E+01 1.20E+01 4.58E+00 1.63E+00 5.44E-01 1.70E-01 4.95E-02 1.35E-02 3.45E-03 8.23E-04 1.84E-04 3.86E-05 7.57E-06 1.39E-06 2.39E-07 3.86E-08
  16.00  1.638  2.12E+05 4.79E+04 4.83E+05 1.47E+03 4.15E+03 6.11E+03 7.11E+03 7.14E+03 6.40E+03 5.22E+03 3.90E+03 2.70E+03 1.73E+03 1.03E+03 5.70E+02 2.95E+02 1.42E+02 6.43E+01 2.72E+01 1.07E+01 3.98E+00 1.38E+00 4.49E-01 1.37E-01 3.92E-02 1.05E-02 2.64E-03 6.24E-04 1.38E-04 2.88E-05 5.61E-06 1.03E-06 1.77E-07
  17.00  1.689  3.81E+05 8.47E+04 8.68E+05 2.52E+03 7.11E+03 1.05E+04 1.23E+04 1.25E+04 1.13E+04 9.31E+03 7.07E+03 4.96E+03 3.24E+03 1.97E+03 1.11E+03 5.91E+02 2.93E+02 1.36E+02 5.93E+01 2.42E+01 9.29E+00 3.34E+00 1.13E+00 3.59E-01 1.07E-01 3.00E-02 7.92E-03 1.96E-03 4.58E-04 1.00E-04 2.07E-05 4.01E-06 7.32E-07
  18.00  1.738  6.77E+05 1.48E+05 1.54E+06 4.26E+03 1.21E+04 1.79E+04 2.10E+04 2.15E+04 1.96E+04 1.64E+04 1.26E+04 8.97E+03 5.95E+03 3.68E+03 2.13E+03 1.15E+03 5.87E+02 2.80E+02 1.25E+02 5.27E+01 2.09E+01 7.76E+00 2.72E+00 8.96E-01 2.78E-01 8.12E-02 2.23E-02 5.79E-03 1.41E-03 3.25E-04 7.05E-05 1.44E-05 2.77E-06
  19.00  1.785  1.19E+06 2.55E+05 2.69E+06 7.13E+03 2.02E+04 3.01E+04 3.56E+04 3.65E+04 3.37E+04 2.84E+04 2.21E+04 1.60E+04 1.07E+04 6.76E+03 3.99E+03 2.21E+03 1.15E+03 5.59E+02 2.57E+02 1.11E+02 4.53E+01 1.74E+01 6.28E+00 2.14E+00 6.88E-01 2.09E-01 5.97E-02 1.61E-02 4.11E-03 9.87E-04 2.24E-04 4.80E-05 9.70E-06
  20.00  1.832  2.06E+06 4.35E+05 4.66E+06 1.18E+04 3.35E+04 5.01E+04 5.95E+04 6.15E+04 5.72E+04 4.86E+04 3.83E+04 2.80E+04 1.91E+04 1.22E+04 7.33E+03 4.13E+03 2.19E+03 1.09E+03 5.14E+02 2.28E+02 9.53E+01 3.76E+01 1.40E+01 4.93E+00 1.64E+00 5.14E-01 1.52E-01 4.27E-02 1.13E-02 2.83E-03 6.70E-04 1.50E-04 3.17E-05
  22.50  1.943  9.93E+06 1.57E+06 1.74E+07 4.02E+04 1.14E+05 1.72E+05 2.07E+05 2.16E+05 2.05E+05 1.78E+05 1.43E+05 1.08E+05 7.57E+04 5.01E+04 3.12E+04 1.83E+04 1.02E+04 5.31E+03 2.63E+03 1.23E+03 5.46E+02 2.29E+02 9.10E+01 3.43E+01 1.22E+01 4.14E+00 1.33E+00 4.04E-01 1.16E-01 3.19E-02 8.27E-03 2.04E-03 4.76E-04
  25.00  2.048  3.68E+07 5.38E+06 6.13E+07 1.30E+05 3.71E+05 5.61E+05 6.79E+05 7.19E+05 6.89E+05 6.09E+05 5.01E+05 3.85E+05 2.78E+05 1.89E+05 1.22E+05 7.39E+04 4.25E+04 2.32E+04 1.20E+04 5.87E+03 2.73E+03 1.21E+03 5.06E+02 2.02E+02 7.65E+01 2.76E+01 9.44E+00 3.08E+00 9.53E-01 2.81E-01 7.87E-02 2.10E-02 5.33E-03
  30.00  2.243  5.78E+08 5.41E+07 6.47E+08 1.18E+06 3.39E+06 5.18E+06 6.36E+06 6.86E+06 6.73E+06 6.11E+06 5.18E+06 4.13E+06 3.11E+06 2.22E+06 1.50E+06 9.61E+05 5.87E+05 3.41E+05 1.88E+05 9.94E+04 4.99E+04 2.39E+04 1.10E+04 4.79E+03 2.00E+03 7.95E+02 3.02E+02 1.10E+02 3.81E+01 1.27E+01 4.01E+00 1.22E+00 3.52E-01
  40.00  2.590  6.91E+10 3.42E+09 4.42E+10 6.42E+07 1.85E+08 2.87E+08 3.58E+08 3.96E+08 4.01E+08 3.78E+08 3.35E+08 2.81E+08 2.24E+08 1.70E+08 1.23E+08 8.51E+07 5.63E+07 3.57E+07 2.17E+07 1.26E+07 7.07E+06 3.79E+06 1.96E+06 9.68E+05 4.61E+05 2.11E+05 9.25E+04 3.91E+04 1.59E+04 6.19E+03 2.32E+03 8.40E+02 2.92E+02
  50.00  2.896  2.80E+12 1.37E+11 1.87E+12 2.28E+09 6.60E+09 1.03E+10 1.30E+10 1.47E+10 1.52E+10 1.46E+10 1.34E+10 1.16E+10 9.59E+09 7.58E+09 5.75E+09 4.18E+09 2.92E+09 1.97E+09 1.27E+09 7.93E+08 4.76E+08 2.75E+08 1.54E+08 8.28E+07 4.30E+07 2.15E+07 1.04E+07 4.87E+06 2.19E+06 9.55E+05 4.02E+05 1.63E+05 6.40E+04
  60.00  3.172  8.06E+13 3.89E+12 5.59E+13 5.89E+10 1.71E+11 2.69E+11 3.44E+11 3.91E+11 4.11E+11 4.04E+11 3.77E+11 3.35E+11 2.85E+11 2.32E+11 1.82E+11 1.37E+11 9.99E+10 7.01E+10 4.75E+10 3.11E+10 1.96E+10 1.20E+10 7.10E+09 4.06E+09 2.25E+09 1.21E+09 6.26E+08 3.14E+08 1.53E+08 7.21E+07 3.29E+07 1.46E+07 6.23E+06
  70.00  3.427  1.79E+15 8.55E+13 1.28E+15 1.20E+12 3.49E+12 5.50E+12 7.07E+12 8.13E+12 8.63E+12 8.62E+12 8.17E+12 7.40E+12 6.42E+12 5.36E+12 4.31E+12 3.35E+12 2.51E+12 1.82E+12 1.28E+12 8.67E+11 5.71E+11 3.64E+11 2.25E+11 1.35E+11 7.85E+10 4.43E+10 2.43E+10 1.29E+10 6.65E+09 3.33E+09 1.62E+09 7.65E+08 3.51E+08
  80.00  3.663  3.24E+16 1.53E+15 2.37E+16 2.00E+13 5.84E+13 9.23E+13 1.19E+14 1.38E+14 1.48E+14 1.50E+14 1.44E+14 1.32E+14 1.17E+14 9.93E+13 8.15E+13 6.47E+13 4.97E+13 3.70E+13 2.67E+13 1.87E+13 1.27E+13 8.37E+12 5.37E+12 3.34E+12 2.02E+12 1.19E+12 6.79E+11 3.78E+11 2.04E+11 1.07E+11 5.49E+10 2.73E+10 1.32E+10
  90.00  3.885  4.95E+17 2.31E+16 3.69E+17 2.84E+14 8.31E+14 1.32E+15 1.72E+15 2.00E+15 2.16E+15 2.20E+15 2.14E+15 1.99E+15 1.78E+15 1.54E+15 1.28E+15 1.04E+15 8.13E+14 6.19E+14 4.57E+14 3.28E+14 2.29E+14 1.55E+14 1.02E+14 6.57E+13 4.10E+13 2.50E+13 1.48E+13 8.53E+12 4.79E+12 2.62E+12 1.40E+12 7.27E+11 3.68E+11
 100.00  4.096  6.55E+18 3.03E+17 4.97E+18 3.53E+15 1.03E+16 1.64E+16 2.15E+16 2.51E+16 2.73E+16 2.81E+16 2.75E+16 2.59E+16 2.34E+16 2.05E+16 1.74E+16 1.43E+16 1.14E+16 8.81E+15 6.63E+15 4.86E+15 3.46E+15 2.40E+15 1.63E+15 1.07E+15 6.88E+14 4.31E+14 2.63E+14 1.56E+14 9.08E+13 5.14E+13 2.84E+13 1.53E+13 8.05E+12
 110.00  4.295  7.69E+19 3.52E+18 5.91E+19 3.90E+16 1.14E+17 1.82E+17 2.39E+17 2.81E+17 3.07E+17 3.18E+17 3.14E+17 2.98E+17 2.72E+17 2.41E+17 2.07E+17 1.72E+17 1.39E+17 1.09E+17 8.38E+16 6.25E+16 4.54E+16 3.22E+16 2.22E+16 1.50E+16 9.84E+15 6.31E+15 3.95E+15 2.42E+15 1.44E+15 8.40E+14 4.78E+14 2.66E+14 1.44E+14
 120.00  4.486  8.12E+20 3.67E+19 6.31E+20 3.90E+17 1.14E+18 1.83E+18 2.40E+18 2.84E+18 3.12E+18 3.24E+18 3.22E+18 3.08E+18 2.84E+18 2.54E+18 2.20E+18 1.85E+18 1.52E+18 1.21E+18 9.40E+17 7.12E+17 5.26E+17 3.79E+17 2.67E+17 1.83E+17 1.23E+17 8.06E+16 5.16E+16 3.23E+16 1.97E+16 1.18E+16 6.89E+15 3.94E+15 2.20E+15
 130.00  4.670  7.81E+21 3.50E+20 6.13E+21 3.56E+18 1.05E+19 1.68E+19 2.21E+19 2.61E+19 2.88E+19 3.02E+19 3.02E+19 2.90E+19 2.70E+19 2.43E+19 2.13E+19 1.81E+19 1.50E+19 1.21E+19 9.52E+18 7.31E+18 5.48E+18 4.01E+18 2.87E+18 2.00E+18 1.37E+18 9.13E+17 5.96E+17 3.81E+17 2.38E+17 1.45E+17 8.69E+16 5.08E+16 2.91E+16
 140.00  4.846  6.91E+22 3.07E+21 5.48E+22 3.01E+19 8.85E+19 1.42E+20 1.87E+20 2.22E+20 2.46E+20 2.59E+20 2.60E+20 2.52E+20 2.36E+20 2.14E+20 1.89E+20 1.62E+20 1.36E+20 1.11E+20 8.80E+19 6.84E+19 5.19E+19 3.85E+19 2.79E+19 1.98E+19 1.38E+19 9.34E+18 6.21E+18 4.03E+18 2.57E+18 1.60E+18 9.77E+17 5.84E+17 3.41E+17
